location,date,stringency_index,adjusted_new_cases,adjusted_new_deaths,adjusted_new_cases_per_million,adjusted_new_deaths_per_million,adjusted_total_cases,adjusted_total_deaths
Afghanistan,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,2020-02-29,8.33,0.8094142329600001,0.0,0.019680000000000003,0.0,0.8094142329600001,0.0
Afghanistan,2020-03-31,67.59,113.062994228,3.9483621120000003,2.749,0.096,113.87240846095999,3.9483621120000003
Afghanistan,2020-04-30,84.26,1713.0956113440002,55.93512992,41.652,1.36,1826.9680198049602,59.883492032
Afghanistan,2020-05-31,84.26,12616.045167139999,187.95848804000002,306.745,4.57,14443.01318694496,247.841980072
Afghanistan,2020-06-30,78.7,16795.016303744,485.072736968,408.352,11.794,31238.02949068896,732.91471704
Afghanistan,2020-07-31,78.7,5303.925308348001,537.96433776,128.959,13.08,36541.95479903696,1270.8790548000002
Afghanistan,2020-08-31,28.7,1312.768709082,91.75417745479999,31.9185,2.2308999999999997,37854.72350811896,1362.6332322548
Afghanistan,2020-09-30,28.7,911.06317038256,39.212171224799995,22.15148,0.9534,38765.786678501514,1401.8454034796
Afghanistan,2020-10-31,9.26,1705.5032400328002,52.48442594919999,41.467400000000005,1.2760999999999998,40471.28991853431,1454.3298294288
Afghanistan,2020-11-30,12.04,4002.4859308011205,161.0232552572,97.31596,3.9151,44473.775849335434,1615.3530846859999
Afghanistan,2020-12-31,12.04,5014.35489878024,298.1794841228,121.91842000000001,7.249899999999999,49488.13074811568,1913.5325688087999
Afghanistan,2021-01-31,12.04,2208.2506554800802,147.693420252,53.691140000000004,3.5909999999999997,51696.381403595755,2061.2259890607997
Afghanistan,2021-02-28,12.04,566.6911398511202,30.0569065776,13.778460000000003,0.7308,52263.07254344688,2091.2828956383996
Afghanistan,2021-03-31,26.85,606.8245955687199,28.7325601192,14.75426,0.6986,52869.8971390156,2120.0154557575997
Afghanistan,2021-04-30,26.85,2698.62077828168,98.66381115079999,65.61394,2.3989,55568.51791729728,2218.6792669083998
Afghanistan,2021-05-31,41.67,9916.30239595816,223.3539092232,241.10378000000003,5.4306,65484.82031325544,2442.0331761315997
Afghanistan,2021-06-30,46.3,46821.076302344,1927.006354516,1138.402,46.853,112305.89661559944,4369.0395306476
Afghanistan,2021-07-31,52.31,28494.918074584,1836.8932150639998,692.822,44.662,140800.81469018344,6205.9327457116
Afghanistan,2021-08-31,18.52,4974.05281509744,287.0089096475999,120.93852,6.978299999999999,145774.86750528088,6492.9416553592
Afghanistan,2021-09-30,35.19,1502.27281637376,60.20018357639999,36.52608,1.4637,147277.14032165465,6553.1418389356
Afghanistan,2021-10-31,25.0,849.58141427064,47.647682362,20.65662,1.1584999999999999,148126.7217359253,6600.7895212976
Afghanistan,2021-11-30,25.0,961.1119504539201,25.191372849999997,23.368360000000003,0.6124999999999999,149087.83368637922,6625.9808941476
Afghanistan,2021-12-31,19.44,655.25454717416,33.5980938468,15.93178,0.8169,149743.08823355337,6659.5789879944
Afghanistan,2022-01-31,19.44,3346.4556949870407,37.110490975599994,81.36532000000001,0.9022999999999999,153089.5439285404,6696.689478970001
Afghanistan,2022-02-28,19.44,9229.10971217512,128.8646684304,224.39546000000004,3.1332,162318.65364071552,6825.554147400401
Afghanistan,2022-03-31,16.67,3525.20133809904,50.4403259808,85.71132,1.2264,165843.85497881458,6875.994473381201
Afghanistan,2022-04-30,16.67,966.8790268637601,12.6100814952,23.508580000000002,0.3066,166810.73400567833,6888.6045548764005
Afghanistan,2022-05-31,11.11,1139.79014237984,13.963218093999998,27.71272,0.33949999999999997,167950.52414805818,6902.5677729704
Afghanistan,2022-06-30,11.11,1776.9340460915203,13.301044864799996,43.20416000000001,0.3233999999999999,169727.4581941497,6915.8688178352
Afghanistan,2022-07-31,11.11,2582.9082685614403,17.418034942,62.800520000000006,0.4235,172310.36646271113,6933.286852777201
Afghanistan,2022-08-31,11.11,6289.38466925048,20.9880123516,152.91934,0.5103,178599.75113196162,6954.274865128801
Afghanistan,2022-09-30,5.56,4769.9792516124,15.3739349736,115.97670000000001,0.3738,183369.73038357403,6969.648800102401
Afghanistan,2022-10-31,5.56,3219.3439348192796,15.345144833200001,78.27474,0.3731,186589.0743183933,6984.993944935601
Afghanistan,2022-11-30,2.78,2326.32395671312,8.349140715999999,56.56196,0.20299999999999999,188915.39827510642,6993.343085651601
Afghanistan,2022-12-31,0.0,1413.67568345768,11.1705744752,34.37194,0.2716,190329.07395856408,7004.5136601268005
Africa,2020-01-31,,0.0,0.0,0.0,0.0,0.0,0.0
