,date,continent,location,diabetes_prevalence
0,2020Q1,Africa,Algeria,598.97
1,2020Q1,Africa,Angola,350.65999999999997
2,2020Q1,Africa,Benin,88.11
3,2020Q1,Africa,Botswana,428.09
4,2020Q1,Africa,Burkina Faso,215.38
5,2020Q1,Africa,Burundi,538.4499999999999
6,2020Q1,Africa,Cameroon,640.8000000000001
7,2020Q1,Africa,Cape Verde,215.38
8,2020Q1,Africa,Central African Republic,542.9
9,2020Q1,Africa,Chad,542.9
10,2020Q1,Africa,Comoros,1057.3200000000002
11,2020Q1,Africa,Congo,640.8000000000001
12,2020Q1,Africa,Cote d'Ivoire,215.38
13,2020Q1,Africa,Democratic Republic of Congo,542.9
14,2020Q1,Africa,Djibouti,538.4499999999999
15,2020Q1,Africa,Egypt,1540.59
16,2020Q1,Africa,Equatorial Guinea,692.4200000000001
17,2020Q1,Africa,Eritrea,538.4499999999999
18,2020Q1,Africa,Eswatini,350.65999999999997
19,2020Q1,Africa,Ethiopia,664.8299999999999
20,2020Q1,Africa,Gabon,640.8000000000001
21,2020Q1,Africa,Gambia,169.98999999999998
22,2020Q1,Africa,Ghana,442.33
23,2020Q1,Africa,Guinea,215.38
24,2020Q1,Africa,Guinea-Bissau,215.38
25,2020Q1,Africa,Kenya,259.88
26,2020Q1,Africa,Lesotho,350.65999999999997
27,2020Q1,Africa,Liberia,215.38
28,2020Q1,Africa,Libya,928.27
29,2020Q1,Africa,Madagascar,350.65999999999997
30,2020Q1,Africa,Malawi,350.65999999999997
31,2020Q1,Africa,Mali,215.38
32,2020Q1,Africa,Mauritania,215.38
33,2020Q1,Africa,Mauritius,1959.78
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,635.4599999999999
36,2020Q1,Africa,Mozambique,293.7
37,2020Q1,Africa,Namibia,350.65999999999997
38,2020Q1,Africa,Niger,215.38
39,2020Q1,Africa,Nigeria,215.38
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,380.92
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,215.38
44,2020Q1,Africa,Senegal,215.38
45,2020Q1,Africa,Seychelles,938.95
46,2020Q1,Africa,Sierra Leone,215.38
47,2020Q1,Africa,Somalia,538.4499999999999
48,2020Q1,Africa,South Africa,491.28
49,2020Q1,Africa,South Sudan,928.27
50,2020Q1,Africa,Sudan,1394.6299999999999
51,2020Q1,Africa,Tanzania,511.75
52,2020Q1,Africa,Togo,547.35
53,2020Q1,Africa,Tunisia,758.28
54,2020Q1,Africa,Uganda,222.5
55,2020Q1,Africa,Zambia,350.65999999999997
56,2020Q1,Africa,Zimbabwe,161.98000000000002
57,2020Q1,Asia,Afghanistan,853.51
58,2020Q1,Asia,Armenia,632.7900000000001
59,2020Q1,Asia,Azerbaijan,632.7900000000001
60,2020Q1,Asia,Bahrain,1470.28
61,2020Q1,Asia,Bangladesh,745.82
62,2020Q1,Asia,Bhutan,867.75
63,2020Q1,Asia,Brunei,1138.31
64,2020Q1,Asia,Cambodia,356.0
65,2020Q1,Asia,China,866.86
66,2020Q1,Asia,Georgia,632.7900000000001
67,2020Q1,Asia,Hong Kong,508.13
68,2020Q1,Asia,India,924.71
69,2020Q1,Asia,Indonesia,562.48
70,2020Q1,Asia,Iran,853.51
71,2020Q1,Asia,Iraq,785.87
72,2020Q1,Asia,Israel,599.86
73,2020Q1,Asia,Japan,509.08
74,2020Q1,Asia,Jordan,1045.75
75,2020Q1,Asia,Kazakhstan,632.7900000000001
76,2020Q1,Asia,Kuwait,1409.76
77,2020Q1,Asia,Kyrgyzstan,632.7900000000001
78,2020Q1,Asia,Laos,356.0
79,2020Q1,Asia,Lebanon,1131.19
80,2020Q1,Asia,Malaysia,1489.86
81,2020Q1,Asia,Maldives,817.91
82,2020Q1,Asia,Mongolia,428.98
83,2020Q1,Asia,Myanmar,410.29
84,2020Q1,Asia,Nepal,646.14
85,2020Q1,Asia,North Korea,356.0
86,2020Q1,Asia,Oman,1122.29
87,2020Q1,Asia,Pakistan,743.15
88,2020Q1,Asia,Palestine,942.51
89,2020Q1,Asia,Philippines,629.23
90,2020Q1,Asia,Qatar,1470.28
91,2020Q1,Asia,Saudi Arabia,1577.08
92,2020Q1,Asia,Singapore,978.11
93,2020Q1,Asia,South Korea,605.1999999999999
94,2020Q1,Asia,Sri Lanka,950.52
95,2020Q1,Asia,Syria,0.0
96,2020Q1,Asia,Taiwan,0.0
97,2020Q1,Asia,Tajikistan,632.7900000000001
98,2020Q1,Asia,Thailand,626.5600000000001
99,2020Q1,Asia,Timor,610.5400000000001
100,2020Q1,Asia,Turkey,1079.5700000000002
101,2020Q1,Asia,Turkmenistan,632.7900000000001
102,2020Q1,Asia,United Arab Emirates,1536.14
103,2020Q1,Asia,Uzbekistan,673.73
104,2020Q1,Asia,Vietnam,534.0
105,2020Q1,Asia,Yemen,476.15
106,2020Q1,Europe,Albania,897.12
107,2020Q1,Europe,Andorra,709.3299999999999
108,2020Q1,Europe,Austria,565.15
109,2020Q1,Europe,Belarus,461.02
110,2020Q1,Europe,Belgium,381.81
111,2020Q1,Europe,Bosnia and Herzegovina,897.12
112,2020Q1,Europe,Bulgaria,517.0899999999999
113,2020Q1,Europe,Croatia,497.51
114,2020Q1,Europe,Cyprus,822.36
115,2020Q1,Europe,Czechia,606.98
116,2020Q1,Europe,Denmark,570.49
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,357.78
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,512.64
121,2020Q1,Europe,France,424.53
122,2020Q1,Europe,Germany,739.59
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,404.95
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,671.9499999999999
127,2020Q1,Europe,Iceland,472.59
128,2020Q1,Europe,Ireland,291.91999999999996
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,425.42
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,436.99
134,2020Q1,Europe,Liechtenstein,691.53
135,2020Q1,Europe,Lithuania,326.63
136,2020Q1,Europe,Luxembourg,393.38
137,2020Q1,Europe,Malta,785.87
138,2020Q1,Europe,Moldova,509.08
139,2020Q1,Europe,Monaco,485.94
140,2020Q1,Europe,Montenegro,897.12
141,2020Q1,Europe,Netherlands,470.81
142,2020Q1,Europe,North Macedonia,897.12
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,472.59
145,2020Q1,Europe,Poland,525.99
146,2020Q1,Europe,Portugal,876.65
147,2020Q1,Europe,Romania,866.86
148,2020Q1,Europe,Russia,550.02
149,2020Q1,Europe,San Marino,501.96
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,897.12
152,2020Q1,Europe,Slovakia,648.8100000000001
153,2020Q1,Europe,Slovenia,645.25
154,2020Q1,Europe,Spain,638.13
155,2020Q1,Europe,Sweden,426.31
156,2020Q1,Europe,Switzerland,497.51
157,2020Q1,Europe,Ukraine,632.7900000000001
158,2020Q1,Europe,United Kingdom,380.92
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,1172.1299999999999
162,2020Q1,North America,Aruba,1034.1799999999998
163,2020Q1,North America,Bahamas,1172.1299999999999
164,2020Q1,North America,Barbados,1207.73
165,2020Q1,North America,Belize,1522.79
166,2020Q1,North America,Bermuda,1157.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,1216.6299999999999
169,2020Q1,North America,Canada,655.9300000000001
170,2020Q1,North America,Cayman Islands,1176.5800000000002
171,2020Q1,North America,Costa Rica,781.42
172,2020Q1,North America,Cuba,736.03
173,2020Q1,North America,Curacao,1034.1799999999998
174,2020Q1,North America,Dominica,1034.1799999999998
175,2020Q1,North America,Dominican Republic,729.8
176,2020Q1,North America,El Salvador,789.43
177,2020Q1,North America,Greenland,192.24
178,2020Q1,North America,Grenada,953.19
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,906.02
181,2020Q1,North America,Haiti,591.85
182,2020Q1,North America,Honduras,641.6899999999999
183,2020Q1,North America,Jamaica,1003.92
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,1188.46
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,1020.83
188,2020Q1,North America,Panama,741.37
189,2020Q1,North America,Puerto Rico,1148.1000000000001
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,1142.76
192,2020Q1,North America,Saint Lucia,1034.1799999999998
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,1034.1799999999998
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,976.33
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,960.31
200,2020Q1,North America,United States Virgin Islands,1091.1399999999999
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,451.23
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,1289.6100000000001
205,2020Q1,Oceania,French Polynesia,2014.07
206,2020Q1,Oceania,Guam,1915.28
207,2020Q1,Oceania,Kiribati,2016.74
208,2020Q1,Oceania,Marshall Islands,2717.17
209,2020Q1,Oceania,Micronesia (country),1069.78
210,2020Q1,Oceania,Nauru,2142.23
211,2020Q1,Oceania,New Caledonia,2079.04
212,2020Q1,Oceania,New Zealand,719.12
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,1414.21
216,2020Q1,Oceania,Papua New Guinea,1570.85
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,819.69
219,2020Q1,Oceania,Solomon Islands,1662.52
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,1372.3799999999999
222,2020Q1,Oceania,Tuvalu,2425.25
223,2020Q1,Oceania,Vanuatu,1069.78
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,500.5
226,2020Q1,South America,Bolivia,613.2099999999999
227,2020Q1,South America,Brazil,721.79
228,2020Q1,South America,Chile,752.94
229,2020Q1,South America,Colombia,662.1600000000001
230,2020Q1,South America,Ecuador,493.95
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,1034.1799999999998
234,2020Q1,South America,Paraguay,736.03
235,2020Q1,South America,Peru,529.5500000000001
236,2020Q1,South America,Suriname,1116.06
237,2020Q1,South America,Uruguay,616.77
238,2020Q1,South America,Venezuela,575.8299999999999
239,2020Q2,Africa,Algeria,612.4300000000001
240,2020Q2,Africa,Angola,358.54
241,2020Q2,Africa,Benin,90.09
242,2020Q2,Africa,Botswana,437.71
243,2020Q2,Africa,Burkina Faso,220.22
244,2020Q2,Africa,Burundi,550.55
245,2020Q2,Africa,Cameroon,655.2
246,2020Q2,Africa,Cape Verde,220.22
247,2020Q2,Africa,Central African Republic,555.1
248,2020Q2,Africa,Chad,555.1
249,2020Q2,Africa,Comoros,1081.0800000000002
250,2020Q2,Africa,Congo,655.2
251,2020Q2,Africa,Cote d'Ivoire,220.22
252,2020Q2,Africa,Democratic Republic of Congo,555.1
253,2020Q2,Africa,Djibouti,550.55
254,2020Q2,Africa,Egypt,1575.2099999999998
255,2020Q2,Africa,Equatorial Guinea,707.98
256,2020Q2,Africa,Eritrea,550.55
257,2020Q2,Africa,Eswatini,358.54
258,2020Q2,Africa,Ethiopia,679.77
259,2020Q2,Africa,Gabon,655.2
260,2020Q2,Africa,Gambia,173.81
261,2020Q2,Africa,Ghana,452.27
262,2020Q2,Africa,Guinea,220.22
263,2020Q2,Africa,Guinea-Bissau,220.22
264,2020Q2,Africa,Kenya,265.71999999999997
265,2020Q2,Africa,Lesotho,358.54
266,2020Q2,Africa,Liberia,220.22
267,2020Q2,Africa,Libya,949.13
268,2020Q2,Africa,Madagascar,358.54
269,2020Q2,Africa,Malawi,358.54
270,2020Q2,Africa,Mali,220.22
271,2020Q2,Africa,Mauritania,220.22
272,2020Q2,Africa,Mauritius,2003.82
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,649.74
275,2020Q2,Africa,Mozambique,300.3
276,2020Q2,Africa,Namibia,358.54
277,2020Q2,Africa,Niger,220.22
278,2020Q2,Africa,Nigeria,220.22
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,389.48
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,220.22
283,2020Q2,Africa,Senegal,220.22
284,2020Q2,Africa,Seychelles,960.0500000000001
285,2020Q2,Africa,Sierra Leone,220.22
286,2020Q2,Africa,Somalia,550.55
287,2020Q2,Africa,South Africa,502.31999999999994
288,2020Q2,Africa,South Sudan,949.13
289,2020Q2,Africa,Sudan,1425.97
290,2020Q2,Africa,Tanzania,523.25
291,2020Q2,Africa,Togo,559.65
292,2020Q2,Africa,Tunisia,775.3199999999999
293,2020Q2,Africa,Uganda,227.5
294,2020Q2,Africa,Zambia,358.54
295,2020Q2,Africa,Zimbabwe,165.62
296,2020Q2,Asia,Afghanistan,872.6899999999999
297,2020Q2,Asia,Armenia,647.01
298,2020Q2,Asia,Azerbaijan,647.01
299,2020Q2,Asia,Bahrain,1503.32
300,2020Q2,Asia,Bangladesh,762.58
301,2020Q2,Asia,Bhutan,887.25
302,2020Q2,Asia,Brunei,1163.8899999999999
303,2020Q2,Asia,Cambodia,364.0
304,2020Q2,Asia,China,886.34
305,2020Q2,Asia,Georgia,647.01
306,2020Q2,Asia,Hong Kong,758.03
307,2020Q2,Asia,India,945.49
308,2020Q2,Asia,Indonesia,575.12
309,2020Q2,Asia,Iran,872.6899999999999
310,2020Q2,Asia,Iraq,803.53
311,2020Q2,Asia,Israel,613.34
312,2020Q2,Asia,Japan,520.52
313,2020Q2,Asia,Jordan,1069.25
314,2020Q2,Asia,Kazakhstan,647.01
315,2020Q2,Asia,Kuwait,1441.44
316,2020Q2,Asia,Kyrgyzstan,647.01
317,2020Q2,Asia,Laos,364.0
318,2020Q2,Asia,Lebanon,1156.6100000000001
319,2020Q2,Asia,Malaysia,1523.34
320,2020Q2,Asia,Maldives,836.29
321,2020Q2,Asia,Mongolia,438.62
322,2020Q2,Asia,Myanmar,419.51000000000005
323,2020Q2,Asia,Nepal,660.66
324,2020Q2,Asia,North Korea,364.0
325,2020Q2,Asia,Oman,1147.51
326,2020Q2,Asia,Pakistan,759.85
327,2020Q2,Asia,Palestine,963.6899999999999
328,2020Q2,Asia,Philippines,643.37
329,2020Q2,Asia,Qatar,1503.32
330,2020Q2,Asia,Saudi Arabia,1612.52
331,2020Q2,Asia,Singapore,1000.09
332,2020Q2,Asia,South Korea,618.8
333,2020Q2,Asia,Sri Lanka,971.88
334,2020Q2,Asia,Syria,0.0
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,647.01
337,2020Q2,Asia,Thailand,640.64
338,2020Q2,Asia,Timor,624.26
339,2020Q2,Asia,Turkey,1103.8300000000002
340,2020Q2,Asia,Turkmenistan,647.01
341,2020Q2,Asia,United Arab Emirates,1570.66
342,2020Q2,Asia,Uzbekistan,688.87
343,2020Q2,Asia,Vietnam,546.0
344,2020Q2,Asia,Yemen,486.84999999999997
345,2020Q2,Europe,Albania,917.28
346,2020Q2,Europe,Andorra,725.27
347,2020Q2,Europe,Austria,577.85
348,2020Q2,Europe,Belarus,471.38
349,2020Q2,Europe,Belgium,390.39
350,2020Q2,Europe,Bosnia and Herzegovina,917.28
351,2020Q2,Europe,Bulgaria,528.7099999999999
352,2020Q2,Europe,Croatia,508.69
353,2020Q2,Europe,Cyprus,840.84
354,2020Q2,Europe,Czechia,620.62
355,2020Q2,Europe,Denmark,583.3100000000001
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,365.81999999999994
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,524.16
360,2020Q2,Europe,France,434.06999999999994
361,2020Q2,Europe,Germany,756.21
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,414.05
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,687.05
366,2020Q2,Europe,Iceland,483.21
367,2020Q2,Europe,Ireland,298.47999999999996
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,434.98
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,446.81
373,2020Q2,Europe,Liechtenstein,707.0699999999999
374,2020Q2,Europe,Lithuania,333.96999999999997
375,2020Q2,Europe,Luxembourg,402.21999999999997
376,2020Q2,Europe,Malta,803.53
377,2020Q2,Europe,Moldova,520.52
378,2020Q2,Europe,Monaco,496.86
379,2020Q2,Europe,Montenegro,917.28
380,2020Q2,Europe,Netherlands,481.39
381,2020Q2,Europe,North Macedonia,917.28
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,483.21
384,2020Q2,Europe,Poland,537.8100000000001
385,2020Q2,Europe,Portugal,896.35
386,2020Q2,Europe,Romania,886.34
387,2020Q2,Europe,Russia,562.38
388,2020Q2,Europe,San Marino,513.24
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,917.28
391,2020Q2,Europe,Slovakia,663.39
392,2020Q2,Europe,Slovenia,659.75
393,2020Q2,Europe,Spain,652.47
394,2020Q2,Europe,Sweden,435.89
395,2020Q2,Europe,Switzerland,508.69
396,2020Q2,Europe,Ukraine,647.01
