,date,continent,location,female_smokers
0,2020Q1,Africa,Algeria,62.3
1,2020Q1,Africa,Angola,0.0
2,2020Q1,Africa,Benin,53.4
3,2020Q1,Africa,Botswana,507.3
4,2020Q1,Africa,Burkina Faso,142.4
5,2020Q1,Africa,Burundi,0.0
6,2020Q1,Africa,Cameroon,0.0
7,2020Q1,Africa,Cape Verde,186.9
8,2020Q1,Africa,Central African Republic,0.0
9,2020Q1,Africa,Chad,0.0
10,2020Q1,Africa,Comoros,391.6
11,2020Q1,Africa,Congo,151.29999999999998
12,2020Q1,Africa,Cote d'Ivoire,0.0
13,2020Q1,Africa,Democratic Republic of Congo,0.0
14,2020Q1,Africa,Djibouti,151.29999999999998
15,2020Q1,Africa,Egypt,17.8
16,2020Q1,Africa,Equatorial Guinea,0.0
17,2020Q1,Africa,Eritrea,17.8
18,2020Q1,Africa,Eswatini,151.29999999999998
19,2020Q1,Africa,Ethiopia,35.6
20,2020Q1,Africa,Gabon,0.0
21,2020Q1,Africa,Gambia,62.3
22,2020Q1,Africa,Ghana,26.7
23,2020Q1,Africa,Guinea,0.0
24,2020Q1,Africa,Guinea-Bissau,0.0
25,2020Q1,Africa,Kenya,106.8
26,2020Q1,Africa,Lesotho,35.6
27,2020Q1,Africa,Liberia,133.5
28,2020Q1,Africa,Libya,0.0
29,2020Q1,Africa,Madagascar,0.0
30,2020Q1,Africa,Malawi,391.6
31,2020Q1,Africa,Mali,142.4
32,2020Q1,Africa,Mauritania,0.0
33,2020Q1,Africa,Mauritius,284.8
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,71.2
36,2020Q1,Africa,Mozambique,453.9
37,2020Q1,Africa,Namibia,863.3
38,2020Q1,Africa,Niger,8.9
39,2020Q1,Africa,Nigeria,53.4
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,418.3
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,0.0
44,2020Q1,Africa,Senegal,35.6
45,2020Q1,Africa,Seychelles,631.9
46,2020Q1,Africa,Sierra Leone,783.2
47,2020Q1,Africa,Somalia,0.0
48,2020Q1,Africa,South Africa,720.9
49,2020Q1,Africa,South Sudan,0.0
50,2020Q1,Africa,Sudan,0.0
51,2020Q1,Africa,Tanzania,293.7
52,2020Q1,Africa,Togo,80.10000000000001
53,2020Q1,Africa,Tunisia,97.9
54,2020Q1,Africa,Uganda,302.59999999999997
55,2020Q1,Africa,Zambia,275.90000000000003
56,2020Q1,Africa,Zimbabwe,142.4
57,2020Q1,Asia,Afghanistan,0.0
58,2020Q1,Asia,Armenia,133.5
59,2020Q1,Asia,Azerbaijan,26.7
60,2020Q1,Asia,Bahrain,516.1999999999999
61,2020Q1,Asia,Bangladesh,89.0
62,2020Q1,Asia,Bhutan,0.0
63,2020Q1,Asia,Brunei,178.0
64,2020Q1,Asia,Cambodia,178.0
65,2020Q1,Asia,China,169.1
66,2020Q1,Asia,Georgia,471.7
67,2020Q1,Asia,Hong Kong,0.0
68,2020Q1,Asia,India,169.1
69,2020Q1,Asia,Indonesia,249.2
70,2020Q1,Asia,Iran,71.2
71,2020Q1,Asia,Iraq,0.0
72,2020Q1,Asia,Israel,1370.6000000000001
73,2020Q1,Asia,Japan,996.8
74,2020Q1,Asia,Jordan,0.0
75,2020Q1,Asia,Kazakhstan,623.0
76,2020Q1,Asia,Kuwait,240.3
77,2020Q1,Asia,Kyrgyzstan,320.40000000000003
78,2020Q1,Asia,Laos,649.6999999999999
79,2020Q1,Asia,Lebanon,2394.1
80,2020Q1,Asia,Malaysia,89.0
81,2020Q1,Asia,Maldives,186.9
82,2020Q1,Asia,Mongolia,489.5
83,2020Q1,Asia,Myanmar,560.6999999999999
84,2020Q1,Asia,Nepal,845.5
85,2020Q1,Asia,North Korea,0.0
86,2020Q1,Asia,Oman,44.5
87,2020Q1,Asia,Pakistan,249.2
88,2020Q1,Asia,Palestine,0.0
89,2020Q1,Asia,Philippines,694.1999999999999
90,2020Q1,Asia,Qatar,71.2
91,2020Q1,Asia,Saudi Arabia,160.20000000000002
92,2020Q1,Asia,Singapore,462.8
93,2020Q1,Asia,South Korea,551.8000000000001
94,2020Q1,Asia,Sri Lanka,26.7
95,2020Q1,Asia,Syria,0.0
96,2020Q1,Asia,Taiwan,0.0
97,2020Q1,Asia,Tajikistan,0.0
98,2020Q1,Asia,Thailand,169.1
99,2020Q1,Asia,Timor,560.6999999999999
100,2020Q1,Asia,Turkey,1254.8999999999999
101,2020Q1,Asia,Turkmenistan,0.0
102,2020Q1,Asia,United Arab Emirates,106.8
103,2020Q1,Asia,Uzbekistan,115.7
104,2020Q1,Asia,Vietnam,89.0
105,2020Q1,Asia,Yemen,676.4
106,2020Q1,Europe,Albania,631.9
107,2020Q1,Europe,Andorra,2581.0
