,date,continent,location,hospital_beds_per_thousand
0,2020Q1,Africa,Algeria,169.1
1,2020Q1,Africa,Angola,0.0
2,2020Q1,Africa,Benin,44.5
3,2020Q1,Africa,Botswana,160.20000000000002
4,2020Q1,Africa,Burkina Faso,35.6
5,2020Q1,Africa,Burundi,71.2
6,2020Q1,Africa,Cameroon,115.7
7,2020Q1,Africa,Cape Verde,186.9
8,2020Q1,Africa,Central African Republic,89.0
9,2020Q1,Africa,Chad,0.0
10,2020Q1,Africa,Comoros,195.8
11,2020Q1,Africa,Congo,0.0
12,2020Q1,Africa,Cote d'Ivoire,0.0
13,2020Q1,Africa,Democratic Republic of Congo,0.0
14,2020Q1,Africa,Djibouti,124.6
15,2020Q1,Africa,Egypt,142.4
16,2020Q1,Africa,Equatorial Guinea,186.9
17,2020Q1,Africa,Eritrea,62.3
18,2020Q1,Africa,Eswatini,186.9
19,2020Q1,Africa,Ethiopia,26.7
20,2020Q1,Africa,Gabon,560.6999999999999
21,2020Q1,Africa,Gambia,97.9
22,2020Q1,Africa,Ghana,80.10000000000001
23,2020Q1,Africa,Guinea,26.7
24,2020Q1,Africa,Guinea-Bissau,0.0
25,2020Q1,Africa,Kenya,124.6
26,2020Q1,Africa,Lesotho,0.0
27,2020Q1,Africa,Liberia,71.2
28,2020Q1,Africa,Libya,329.3
29,2020Q1,Africa,Madagascar,17.8
30,2020Q1,Africa,Malawi,115.7
31,2020Q1,Africa,Mali,8.9
32,2020Q1,Africa,Mauritania,0.0
33,2020Q1,Africa,Mauritius,302.59999999999997
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,97.9
36,2020Q1,Africa,Mozambique,62.3
37,2020Q1,Africa,Namibia,0.0
38,2020Q1,Africa,Niger,26.7
39,2020Q1,Africa,Nigeria,0.0
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,0.0
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,258.09999999999997
44,2020Q1,Africa,Senegal,0.0
45,2020Q1,Africa,Seychelles,320.40000000000003
46,2020Q1,Africa,Sierra Leone,0.0
47,2020Q1,Africa,Somalia,80.10000000000001
48,2020Q1,Africa,South Africa,206.48
49,2020Q1,Africa,South Sudan,0.0
50,2020Q1,Africa,Sudan,71.2
51,2020Q1,Africa,Tanzania,62.3
52,2020Q1,Africa,Togo,62.3
53,2020Q1,Africa,Tunisia,204.7
54,2020Q1,Africa,Uganda,44.5
55,2020Q1,Africa,Zambia,178.0
56,2020Q1,Africa,Zimbabwe,151.29999999999998
57,2020Q1,Asia,Afghanistan,44.5
58,2020Q1,Asia,Armenia,373.8
59,2020Q1,Asia,Azerbaijan,418.3
60,2020Q1,Asia,Bahrain,178.0
61,2020Q1,Asia,Bangladesh,71.2
62,2020Q1,Asia,Bhutan,151.29999999999998
63,2020Q1,Asia,Brunei,240.3
64,2020Q1,Asia,Cambodia,71.2
65,2020Q1,Asia,China,386.26
66,2020Q1,Asia,Georgia,231.4
67,2020Q1,Asia,Hong Kong,0.0
68,2020Q1,Asia,India,47.17
69,2020Q1,Asia,Indonesia,92.56
70,2020Q1,Asia,Iran,133.5
71,2020Q1,Asia,Iraq,124.6
72,2020Q1,Asia,Israel,266.11
73,2020Q1,Asia,Japan,1161.45
74,2020Q1,Asia,Jordan,124.6
75,2020Q1,Asia,Kazakhstan,596.3000000000001
76,2020Q1,Asia,Kuwait,178.0
77,2020Q1,Asia,Kyrgyzstan,400.5
78,2020Q1,Asia,Laos,133.5
79,2020Q1,Asia,Lebanon,258.09999999999997
80,2020Q1,Asia,Malaysia,169.1
81,2020Q1,Asia,Maldives,0.0
82,2020Q1,Asia,Mongolia,623.0
83,2020Q1,Asia,Myanmar,80.10000000000001
84,2020Q1,Asia,Nepal,26.7
85,2020Q1,Asia,North Korea,1174.8
86,2020Q1,Asia,Oman,142.4
87,2020Q1,Asia,Pakistan,53.4
88,2020Q1,Asia,Palestine,0.0
89,2020Q1,Asia,Philippines,89.0
90,2020Q1,Asia,Qatar,106.8
91,2020Q1,Asia,Saudi Arabia,240.3
92,2020Q1,Asia,Singapore,213.6
93,2020Q1,Asia,South Korea,1092.03
94,2020Q1,Asia,Sri Lanka,320.40000000000003
95,2020Q1,Asia,Syria,133.5
96,2020Q1,Asia,Taiwan,0.0
97,2020Q1,Asia,Tajikistan,427.2
98,2020Q1,Asia,Thailand,186.9
99,2020Q1,Asia,Timor,525.1
100,2020Q1,Asia,Turkey,250.09
101,2020Q1,Asia,Turkmenistan,658.6
102,2020Q1,Asia,United Arab Emirates,106.8
103,2020Q1,Asia,Uzbekistan,356.0
104,2020Q1,Asia,Vietnam,231.4
105,2020Q1,Asia,Yemen,62.3
106,2020Q1,Europe,Albania,257.21000000000004
107,2020Q1,Europe,Andorra,0.0
108,2020Q1,Europe,Austria,655.9300000000001
109,2020Q1,Europe,Belarus,979.0
110,2020Q1,Europe,Belgium,501.96
111,2020Q1,Europe,Bosnia and Herzegovina,311.5
112,2020Q1,Europe,Bulgaria,663.406
113,2020Q1,Europe,Croatia,493.06
114,2020Q1,Europe,Cyprus,302.59999999999997
115,2020Q1,Europe,Czechia,590.0699999999999
116,2020Q1,Europe,Denmark,222.5
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,417.41
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,291.91999999999996
121,2020Q1,Europe,France,532.22
