,date,continent,location,human_development_index
0,2020Q1,Africa,Algeria,66.572
1,2020Q1,Africa,Angola,51.708999999999996
2,2020Q1,Africa,Benin,48.505
3,2020Q1,Africa,Botswana,65.41499999999999
4,2020Q1,Africa,Burkina Faso,40.228
5,2020Q1,Africa,Burundi,38.537
6,2020Q1,Africa,Cameroon,50.10699999999999
7,2020Q1,Africa,Cape Verde,59.185
8,2020Q1,Africa,Central African Republic,35.333
9,2020Q1,Africa,Chad,35.422000000000004
10,2020Q1,Africa,Comoros,49.306000000000004
11,2020Q1,Africa,Congo,51.086
12,2020Q1,Africa,Cote d'Ivoire,47.882000000000005
13,2020Q1,Africa,Democratic Republic of Congo,42.72
14,2020Q1,Africa,Djibouti,46.636
15,2020Q1,Africa,Egypt,62.922999999999995
16,2020Q1,Africa,Equatorial Guinea,52.687999999999995
17,2020Q1,Africa,Eritrea,40.851
18,2020Q1,Africa,Eswatini,54.379
19,2020Q1,Africa,Ethiopia,43.165
20,2020Q1,Africa,Gabon,62.56699999999999
21,2020Q1,Africa,Gambia,44.144
22,2020Q1,Africa,Ghana,54.379
23,2020Q1,Africa,Guinea,42.452999999999996
24,2020Q1,Africa,Guinea-Bissau,42.72
25,2020Q1,Africa,Kenya,53.489
26,2020Q1,Africa,Lesotho,46.903
27,2020Q1,Africa,Liberia,42.72
28,2020Q1,Africa,Libya,64.43599999999999
29,2020Q1,Africa,Madagascar,46.992000000000004
30,2020Q1,Africa,Malawi,42.987
31,2020Q1,Africa,Mali,38.626
32,2020Q1,Africa,Mauritania,48.594
33,2020Q1,Africa,Mauritius,71.556
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,61.054
36,2020Q1,Africa,Mozambique,40.584
37,2020Q1,Africa,Namibia,57.494
38,2020Q1,Africa,Niger,35.066
39,2020Q1,Africa,Nigeria,47.971000000000004
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,48.327000000000005
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,55.625
44,2020Q1,Africa,Senegal,45.568
45,2020Q1,Africa,Seychelles,70.84400000000001
46,2020Q1,Africa,Sierra Leone,40.228
47,2020Q1,Africa,Somalia,0.0
48,2020Q1,Africa,South Africa,63.101
49,2020Q1,Africa,South Sudan,38.537
50,2020Q1,Africa,Sudan,45.39
51,2020Q1,Africa,Tanzania,47.081
52,2020Q1,Africa,Togo,45.835
53,2020Q1,Africa,Tunisia,65.86
54,2020Q1,Africa,Uganda,48.416000000000004
55,2020Q1,Africa,Zambia,51.976
56,2020Q1,Africa,Zimbabwe,50.818999999999996
57,2020Q1,Asia,Afghanistan,45.479
58,2020Q1,Asia,Armenia,69.06400000000001
59,2020Q1,Asia,Azerbaijan,67.284
60,2020Q1,Asia,Bahrain,75.828
61,2020Q1,Asia,Bangladesh,56.248
62,2020Q1,Asia,Bhutan,58.206
63,2020Q1,Asia,Brunei,74.582
64,2020Q1,Asia,Cambodia,52.866
65,2020Q1,Asia,China,67.729
66,2020Q1,Asia,Georgia,72.268
67,2020Q1,Asia,Hong Kong,57.888999999999996
68,2020Q1,Asia,India,57.405
69,2020Q1,Asia,Indonesia,63.902
70,2020Q1,Asia,Iran,69.687
71,2020Q1,Asia,Iraq,59.986000000000004
72,2020Q1,Asia,Israel,81.791
73,2020Q1,Asia,Japan,81.791
74,2020Q1,Asia,Jordan,64.881
75,2020Q1,Asia,Kazakhstan,73.425
76,2020Q1,Asia,Kuwait,71.73400000000001
77,2020Q1,Asia,Kyrgyzstan,62.032999999999994
78,2020Q1,Asia,Laos,54.557
79,2020Q1,Asia,Lebanon,66.216
80,2020Q1,Asia,Malaysia,72.09
81,2020Q1,Asia,Maldives,65.86
82,2020Q1,Asia,Mongolia,65.593
83,2020Q1,Asia,Myanmar,51.88699999999999
84,2020Q1,Asia,Nepal,53.577999999999996
85,2020Q1,Asia,North Korea,0.0
86,2020Q1,Asia,Oman,72.357
87,2020Q1,Asia,Pakistan,49.57300000000001
88,2020Q1,Asia,Palestine,63.01199999999999
89,2020Q1,Asia,Philippines,63.902
90,2020Q1,Asia,Qatar,75.472
91,2020Q1,Asia,Saudi Arabia,76.006
92,2020Q1,Asia,Singapore,83.482
93,2020Q1,Asia,South Korea,81.524
94,2020Q1,Asia,Sri Lanka,69.598
95,2020Q1,Asia,Syria,50.462999999999994
96,2020Q1,Asia,Taiwan,0.0
97,2020Q1,Asia,Tajikistan,59.452000000000005
98,2020Q1,Asia,Thailand,69.153
99,2020Q1,Asia,Timor,53.934
100,2020Q1,Asia,Turkey,72.97999999999999
101,2020Q1,Asia,Turkmenistan,63.635
102,2020Q1,Asia,United Arab Emirates,79.21000000000001
103,2020Q1,Asia,Uzbekistan,64.08
104,2020Q1,Asia,Vietnam,62.656
105,2020Q1,Asia,Yemen,41.83
106,2020Q1,Europe,Albania,70.75500000000001
107,2020Q1,Europe,Andorra,77.252
108,2020Q1,Europe,Austria,82.058
109,2020Q1,Europe,Belarus,73.247
110,2020Q1,Europe,Belgium,82.85900000000001
111,2020Q1,Europe,Bosnia and Herzegovina,69.42
112,2020Q1,Europe,Bulgaria,72.624
113,2020Q1,Europe,Croatia,75.739
114,2020Q1,Europe,Cyprus,78.943
115,2020Q1,Europe,Czechia,80.10000000000001
116,2020Q1,Europe,Denmark,83.66
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,79.388
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,83.482
121,2020Q1,Europe,France,80.18900000000001
122,2020Q1,Europe,Germany,84.283
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,79.032
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,76.006
127,2020Q1,Europe,Iceland,84.461
128,2020Q1,Europe,Ireland,84.99499999999999
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,79.388
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,77.074
134,2020Q1,Europe,Liechtenstein,81.791
135,2020Q1,Europe,Lithuania,78.498
136,2020Q1,Europe,Luxembourg,81.524
137,2020Q1,Europe,Malta,79.655
138,2020Q1,Europe,Moldova,66.75
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,73.78099999999999
141,2020Q1,Europe,Netherlands,84.01599999999999
142,2020Q1,Europe,North Macedonia,68.886
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,85.173
145,2020Q1,Europe,Poland,78.32000000000001
146,2020Q1,Europe,Portugal,76.896
147,2020Q1,Europe,Romania,73.692
148,2020Q1,Europe,Russia,73.336
149,2020Q1,Europe,San Marino,0.0
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,71.73400000000001
152,2020Q1,Europe,Slovakia,76.53999999999999
153,2020Q1,Europe,Slovenia,81.613
154,2020Q1,Europe,Spain,80.456
155,2020Q1,Europe,Sweden,84.10499999999999
156,2020Q1,Europe,Switzerland,84.99499999999999
