,date,continent,location,life_expectancy
0,2020Q1,Africa,Algeria,6842.32
1,2020Q1,Africa,Angola,5442.349999999999
2,2020Q1,Africa,Benin,5497.530000000001
3,2020Q1,Africa,Botswana,6193.51
4,2020Q1,Africa,Burkina Faso,5480.62
5,2020Q1,Africa,Burundi,5480.62
6,2020Q1,Africa,Cameroon,5276.8099999999995
7,2020Q1,Africa,Cape Verde,6495.22
8,2020Q1,Africa,Central African Republic,4741.92
9,2020Q1,Africa,Chad,4827.360000000001
10,2020Q1,Africa,Comoros,5724.48
11,2020Q1,Africa,Congo,5746.73
12,2020Q1,Africa,Cote d'Ivoire,5142.42
13,2020Q1,Africa,Democratic Republic of Congo,5400.5199999999995
14,2020Q1,Africa,Djibouti,5972.79
15,2020Q1,Africa,Egypt,6407.11
16,2020Q1,Africa,Equatorial Guinea,5227.860000000001
17,2020Q1,Africa,Eritrea,5902.48
18,2020Q1,Africa,Eswatini,5356.91
19,2020Q1,Africa,Ethiopia,5927.4
20,2020Q1,Africa,Gabon,5915.83
21,2020Q1,Africa,Gambia,5522.45
22,2020Q1,Africa,Ghana,5702.23
23,2020Q1,Africa,Guinea,5482.400000000001
24,2020Q1,Africa,Guinea-Bissau,5190.4800000000005
25,2020Q1,Africa,Kenya,5936.3
26,2020Q1,Africa,Lesotho,4835.37
27,2020Q1,Africa,Liberia,5704.9
28,2020Q1,Africa,Libya,6488.99
29,2020Q1,Africa,Madagascar,5966.56
30,2020Q1,Africa,Malawi,5719.14
31,2020Q1,Africa,Mali,5278.59
32,2020Q1,Africa,Mauritania,5777.88
33,2020Q1,Africa,Mauritius,6674.11
34,2020Q1,Africa,Mayotte,7071.94
35,2020Q1,Africa,Morocco,6824.52
36,2020Q1,Africa,Mozambique,5415.650000000001
37,2020Q1,Africa,Namibia,5670.1900000000005
38,2020Q1,Africa,Niger,5555.38
39,2020Q1,Africa,Nigeria,4867.41
40,2020Q1,Africa,Reunion,7162.72
41,2020Q1,Africa,Rwanda,6142.78
42,2020Q1,Africa,Saint Helena,7169.84
43,2020Q1,Africa,Sao Tome and Principe,6264.71
44,2020Q1,Africa,Senegal,6046.66
45,2020Q1,Africa,Seychelles,6532.6
46,2020Q1,Africa,Sierra Leone,4868.3
47,2020Q1,Africa,Somalia,5108.599999999999
48,2020Q1,Africa,South Africa,5707.57
49,2020Q1,Africa,South Sudan,5148.650000000001
50,2020Q1,Africa,Sudan,5812.59
51,2020Q1,Africa,Tanzania,5825.94
52,2020Q1,Africa,Togo,5432.5599999999995
53,2020Q1,Africa,Tunisia,6826.3
54,2020Q1,Africa,Uganda,5639.929999999999
55,2020Q1,Africa,Zambia,5686.21
56,2020Q1,Africa,Zimbabwe,5472.610000000001
57,2020Q1,Asia,Afghanistan,5769.87
58,2020Q1,Asia,Armenia,6683.01
59,2020Q1,Asia,Azerbaijan,6497.0
60,2020Q1,Asia,Bahrain,6878.81
61,2020Q1,Asia,Bangladesh,6460.51
62,2020Q1,Asia,Bhutan,6388.42
63,2020Q1,Asia,Brunei,6751.54
64,2020Q1,Asia,Cambodia,6213.98
65,2020Q1,Asia,China,6844.99
66,2020Q1,Asia,Georgia,6565.53
67,2020Q1,Asia,Hong Kong,5176.46
68,2020Q1,Asia,India,6199.74
69,2020Q1,Asia,Indonesia,6383.08
70,2020Q1,Asia,Iran,6824.52
71,2020Q1,Asia,Iraq,6283.4
72,2020Q1,Asia,Israel,7384.33
73,2020Q1,Asia,Japan,7532.07
74,2020Q1,Asia,Jordan,6633.17
75,2020Q1,Asia,Kazakhstan,6550.4
76,2020Q1,Asia,Kuwait,6718.61
77,2020Q1,Asia,Kyrgyzstan,6359.05
78,2020Q1,Asia,Laos,6044.88
79,2020Q1,Asia,Lebanon,7024.77
80,2020Q1,Asia,Malaysia,6778.24
81,2020Q1,Asia,Maldives,7023.88
82,2020Q1,Asia,Mongolia,6218.43
83,2020Q1,Asia,Myanmar,5974.57
84,2020Q1,Asia,Nepal,6299.42
85,2020Q1,Asia,North Korea,6432.03
86,2020Q1,Asia,Oman,6929.54
87,2020Q1,Asia,Pakistan,5987.03
88,2020Q1,Asia,Palestine,6590.45
89,2020Q1,Asia,Philippines,6339.47
90,2020Q1,Asia,Qatar,7140.47
91,2020Q1,Asia,Saudi Arabia,6686.57
92,2020Q1,Asia,Singapore,7442.18
93,2020Q1,Asia,South Korea,7389.67
94,2020Q1,Asia,Sri Lanka,6851.22
95,2020Q1,Asia,Syria,6470.3
96,2020Q1,Asia,Taiwan,6114.959999999999
97,2020Q1,Asia,Tajikistan,6327.9
98,2020Q1,Asia,Thailand,6866.35
99,2020Q1,Asia,Timor,6185.5
100,2020Q1,Asia,Turkey,6914.41
101,2020Q1,Asia,Turkmenistan,6068.91
102,2020Q1,Asia,United Arab Emirates,6939.33
103,2020Q1,Asia,Uzbekistan,6383.08
104,2020Q1,Asia,Vietnam,6710.6
105,2020Q1,Asia,Yemen,5884.68
106,2020Q1,Europe,Albania,6992.73
107,2020Q1,Europe,Andorra,7451.97
108,2020Q1,Europe,Austria,7257.06
109,2020Q1,Europe,Belarus,6656.31
110,2020Q1,Europe,Belgium,7265.07
111,2020Q1,Europe,Bosnia and Herzegovina,6888.6
112,2020Q1,Europe,Bulgaria,6679.45
113,2020Q1,Europe,Croatia,6985.61
114,2020Q1,Europe,Cyprus,7207.22
115,2020Q1,Europe,Czechia,7064.82
116,2020Q1,Europe,Denmark,7200.1
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,7007.86
119,2020Q1,Europe,Faeroe Islands,7179.63
120,2020Q1,Europe,Finland,7289.99
121,2020Q1,Europe,France,7356.74
122,2020Q1,Europe,Germany,7238.37
123,2020Q1,Europe,Gibraltar,7113.77
124,2020Q1,Europe,Greece,7319.36
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,6842.32
127,2020Q1,Europe,Iceland,7386.11
128,2020Q1,Europe,Ireland,7324.7
129,2020Q1,Europe,Isle of Man,7244.6
130,2020Q1,Europe,Italy,7432.39
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,6700.81
134,2020Q1,Europe,Liechtenstein,7341.61
135,2020Q1,Europe,Lithuania,6757.77
136,2020Q1,Europe,Luxembourg,7320.25
137,2020Q1,Europe,Malta,7345.17
138,2020Q1,Europe,Moldova,6399.1
139,2020Q1,Europe,Monaco,7720.75
140,2020Q1,Europe,Montenegro,6842.32
141,2020Q1,Europe,Netherlands,7322.92
142,2020Q1,Europe,North Macedonia,6746.2
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,7333.6
145,2020Q1,Europe,Poland,7006.97
146,2020Q1,Europe,Portugal,7302.45
147,2020Q1,Europe,Romania,6768.45
148,2020Q1,Europe,Russia,6459.62
149,2020Q1,Europe,San Marino,7562.33
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,6764.0
152,2020Q1,Europe,Slovakia,6901.06
153,2020Q1,Europe,Slovenia,7237.48
154,2020Q1,Europe,Spain,7436.84
155,2020Q1,Europe,Sweden,7369.2
156,2020Q1,Europe,Switzerland,7456.42
157,2020Q1,Europe,Ukraine,6413.34
158,2020Q1,Europe,United Kingdom,7237.48
159,2020Q1,Europe,Vatican,6685.68
160,2020Q1,North America,Anguilla,7287.32
161,2020Q1,North America,Antigua and Barbuda,6854.78
162,2020Q1,North America,Aruba,6789.81
163,2020Q1,North America,Bahamas,6578.88
164,2020Q1,North America,Barbados,7047.91
165,2020Q1,North America,Belize,6641.18
166,2020Q1,North America,Bermuda,7350.51
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,6923.31
168,2020Q1,North America,British Virgin Islands,7037.23
169,2020Q1,North America,Canada,7336.27
170,2020Q1,North America,Cayman Islands,7468.88
171,2020Q1,North America,Costa Rica,7144.92
172,2020Q1,North America,Cuba,7013.2
173,2020Q1,North America,Curacao,7020.32
174,2020Q1,North America,Dominica,6675.0
175,2020Q1,North America,Dominican Republic,6593.12
176,2020Q1,North America,El Salvador,6525.48
177,2020Q1,North America,Greenland,6381.3
178,2020Q1,North America,Grenada,6443.6
179,2020Q1,North America,Guadeloupe,7310.46
180,2020Q1,North America,Guatemala,6612.7
181,2020Q1,North America,Haiti,5696.0
182,2020Q1,North America,Honduras,6699.03
183,2020Q1,North America,Jamaica,6627.83
184,2020Q1,North America,Martinique,7346.06
185,2020Q1,North America,Mexico,6829.55
186,2020Q1,North America,Montserrat,6600.24
187,2020Q1,North America,Nicaragua,6628.72
188,2020Q1,North America,Panama,6987.39
189,2020Q1,North America,Puerto Rico,7128.9
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,6784.47
192,2020Q1,North America,Saint Lucia,6781.8
193,2020Q1,North America,Saint Martin (French part),7305.12
194,2020Q1,North America,Saint Pierre and Miquelon,7215.23
195,2020Q1,North America,Saint Vincent and the Grenadines,6455.17
196,2020Q1,North America,Sint Maarten (Dutch part),7026.55
197,2020Q1,North America,Trinidad and Tobago,6542.39
198,2020Q1,North America,Turks and Caicos Islands,7139.58
199,2020Q1,North America,United States,7018.54
200,2020Q1,North America,United States Virgin Islands,7171.62
201,2020Q1,Oceania,American Samoa,6562.86
202,2020Q1,Oceania,Australia,7426.16
203,2020Q1,Oceania,Cook Islands,6786.25
204,2020Q1,Oceania,Fiji,6002.16
205,2020Q1,Oceania,French Polynesia,6911.74
206,2020Q1,Oceania,Guam,7126.23
207,2020Q1,Oceania,Kiribati,6084.93
208,2020Q1,Oceania,Marshall Islands,6559.3
209,2020Q1,Oceania,Micronesia (country),6041.32
210,2020Q1,Oceania,Nauru,5336.4400000000005
211,2020Q1,Oceania,New Caledonia,6901.95
212,2020Q1,Oceania,New Zealand,7323.81
213,2020Q1,Oceania,Niue,6560.19
214,2020Q1,Oceania,Northern Mariana Islands,6829.86
215,2020Q1,Oceania,Palau,6559.3
216,2020Q1,Oceania,Papua New Guinea,5740.5
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,6525.48
219,2020Q1,Oceania,Solomon Islands,6497.0
220,2020Q1,Oceania,Tokelau,7285.54
221,2020Q1,Oceania,Tonga,6310.99
222,2020Q1,Oceania,Tuvalu,6013.73
223,2020Q1,Oceania,Vanuatu,6271.83
224,2020Q1,Oceania,Wallis and Futuna,7114.66
225,2020Q1,South America,Argentina,6976.97
226,2020Q1,South America,Bolivia,6364.39
227,2020Q1,South America,Brazil,6753.32
228,2020Q1,South America,Chile,7136.02
229,2020Q1,South America,Colombia,6878.81
230,2020Q1,South America,Ecuador,6853.89
231,2020Q1,South America,Falkland Islands,7248.16
232,2020Q1,South America,French Guiana,7115.55
233,2020Q1,South America,Guyana,6221.99
234,2020Q1,South America,Paraguay,6608.25
235,2020Q1,South America,Peru,6829.86
236,2020Q1,South America,Suriname,6379.52
237,2020Q1,South America,Uruguay,6933.99
238,2020Q1,South America,Venezuela,6413.34
239,2020Q2,Africa,Algeria,6996.08
240,2020Q2,Africa,Angola,5564.65
241,2020Q2,Africa,Benin,5621.070000000001
242,2020Q2,Africa,Botswana,6332.6900000000005
243,2020Q2,Africa,Burkina Faso,5603.78
244,2020Q2,Africa,Burundi,5603.78
245,2020Q2,Africa,Cameroon,5395.39
246,2020Q2,Africa,Cape Verde,6641.18
247,2020Q2,Africa,Central African Republic,4848.4800000000005
248,2020Q2,Africa,Chad,4935.84
249,2020Q2,Africa,Comoros,5853.119999999999
250,2020Q2,Africa,Congo,5875.869999999999
251,2020Q2,Africa,Cote d'Ivoire,5257.9800000000005
252,2020Q2,Africa,Democratic Republic of Congo,5521.88
253,2020Q2,Africa,Djibouti,6107.01
254,2020Q2,Africa,Egypt,6551.089999999999
255,2020Q2,Africa,Equatorial Guinea,5345.34
256,2020Q2,Africa,Eritrea,6035.119999999999
257,2020Q2,Africa,Eswatini,5477.29
258,2020Q2,Africa,Ethiopia,6060.599999999999
259,2020Q2,Africa,Gabon,6048.7699999999995
260,2020Q2,Africa,Gambia,5646.55
261,2020Q2,Africa,Ghana,5830.369999999999
262,2020Q2,Africa,Guinea,5605.6
263,2020Q2,Africa,Guinea-Bissau,5307.12
264,2020Q2,Africa,Kenya,6069.7
265,2020Q2,Africa,Lesotho,4944.03
266,2020Q2,Africa,Liberia,5833.099999999999
267,2020Q2,Africa,Libya,6634.8099999999995
268,2020Q2,Africa,Madagascar,6100.64
269,2020Q2,Africa,Malawi,5847.660000000001
270,2020Q2,Africa,Mali,5397.21
271,2020Q2,Africa,Mauritania,5907.72
272,2020Q2,Africa,Mauritius,6824.089999999999
273,2020Q2,Africa,Mayotte,7230.86
274,2020Q2,Africa,Morocco,6977.880000000001
275,2020Q2,Africa,Mozambique,5537.35
276,2020Q2,Africa,Namibia,5797.61
277,2020Q2,Africa,Niger,5680.22
278,2020Q2,Africa,Nigeria,4976.79
279,2020Q2,Africa,Reunion,7323.68
280,2020Q2,Africa,Rwanda,6280.82
281,2020Q2,Africa,Saint Helena,7330.96
282,2020Q2,Africa,Sao Tome and Principe,6405.49
283,2020Q2,Africa,Senegal,6182.54
284,2020Q2,Africa,Seychelles,6679.400000000001
285,2020Q2,Africa,Sierra Leone,4977.7
286,2020Q2,Africa,Somalia,5223.4
287,2020Q2,Africa,South Africa,5835.83
288,2020Q2,Africa,South Sudan,5264.35
