,date,continent,location,male_smokers
0,2020Q1,Africa,Algeria,2705.6
1,2020Q1,Africa,Angola,0.0
2,2020Q1,Africa,Benin,1094.7
3,2020Q1,Africa,Botswana,3061.6
4,2020Q1,Africa,Burkina Faso,2127.1
5,2020Q1,Africa,Burundi,0.0
6,2020Q1,Africa,Cameroon,0.0
7,2020Q1,Africa,Cape Verde,1468.5
8,2020Q1,Africa,Central African Republic,0.0
9,2020Q1,Africa,Chad,0.0
10,2020Q1,Africa,Comoros,2100.4
11,2020Q1,Africa,Congo,4654.7
12,2020Q1,Africa,Cote d'Ivoire,0.0
13,2020Q1,Africa,Democratic Republic of Congo,0.0
14,2020Q1,Africa,Djibouti,2180.5
15,2020Q1,Africa,Egypt,4458.900000000001
16,2020Q1,Africa,Equatorial Guinea,0.0
17,2020Q1,Africa,Eritrea,1014.6
18,2020Q1,Africa,Eswatini,1468.5
19,2020Q1,Africa,Ethiopia,756.5
20,2020Q1,Africa,Gabon,0.0
21,2020Q1,Africa,Gambia,2776.7999999999997
22,2020Q1,Africa,Ghana,685.3000000000001
23,2020Q1,Africa,Guinea,0.0
24,2020Q1,Africa,Guinea-Bissau,0.0
25,2020Q1,Africa,Kenya,1815.6
26,2020Q1,Africa,Lesotho,4797.099999999999
27,2020Q1,Africa,Liberia,1610.9
28,2020Q1,Africa,Libya,0.0
29,2020Q1,Africa,Madagascar,0.0
30,2020Q1,Africa,Malawi,2198.2999999999997
31,2020Q1,Africa,Mali,2047.0
32,2020Q1,Africa,Mauritania,0.0
33,2020Q1,Africa,Mauritius,3622.3
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,4191.900000000001
36,2020Q1,Africa,Mozambique,2589.9
37,2020Q1,Africa,Namibia,3043.8
38,2020Q1,Africa,Niger,1370.6000000000001
39,2020Q1,Africa,Nigeria,961.2
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,1869.0
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,0.0
44,2020Q1,Africa,Senegal,1477.4
45,2020Q1,Africa,Seychelles,3177.3
46,2020Q1,Africa,Sierra Leone,3675.7
47,2020Q1,Africa,Somalia,0.0
48,2020Q1,Africa,South Africa,2954.8
49,2020Q1,Africa,South Sudan,0.0
50,2020Q1,Africa,Sudan,0.0
51,2020Q1,Africa,Tanzania,2376.2999999999997
52,2020Q1,Africa,Togo,1263.8
53,2020Q1,Africa,Tunisia,5856.2
54,2020Q1,Africa,Uganda,1486.3
55,2020Q1,Africa,Zambia,2198.2999999999997
56,2020Q1,Africa,Zimbabwe,2732.2999999999997
57,2020Q1,Asia,Afghanistan,0.0
58,2020Q1,Asia,Armenia,4636.900000000001
