,date,continent,location,cardiovasc_death_rate
0,2020Q1,Africa,Algeria,24774.395999999997
1,2020Q1,Africa,Angola,24568.005
2,2020Q1,Africa,Benin,20990.472
3,2020Q1,Africa,Botswana,21126.108
4,2020Q1,Africa,Burkina Faso,23945.272
5,2020Q1,Africa,Burundi,26083.052
6,2020Q1,Africa,Cameroon,21774.829
7,2020Q1,Africa,Cape Verde,16217.491
8,2020Q1,Africa,Central African Republic,38779.703
9,2020Q1,Africa,Chad,25008.555
10,2020Q1,Africa,Comoros,23274.924000000003
11,2020Q1,Africa,Congo,30624.365999999998
12,2020Q1,Africa,Cote d'Ivoire,27032.86
13,2020Q1,Africa,Democratic Republic of Congo,28386.461
14,2020Q1,Africa,Djibouti,22965.292999999998
15,2020Q1,Africa,Egypt,46763.448000000004
16,2020Q1,Africa,Equatorial Guinea,18050.268
17,2020Q1,Africa,Eritrea,27688.79
18,2020Q1,Africa,Eswatini,29675.803999999996
19,2020Q1,Africa,Ethiopia,16254.426
20,2020Q1,Africa,Gabon,23137.063
21,2020Q1,Africa,Gambia,29497.27
22,2020Q1,Africa,Ghana,26543.805
23,2020Q1,Africa,Guinea,29967.813
24,2020Q1,Africa,Guinea-Bissau,34040.186
25,2020Q1,Africa,Kenya,19458.693
26,2020Q1,Africa,Lesotho,36056.214
27,2020Q1,Africa,Liberia,24253.301
28,2020Q1,Africa,Libya,30425.718
29,2020Q1,Africa,Madagascar,36133.466
30,2020Q1,Africa,Malawi,20234.060999999998
31,2020Q1,Africa,Mali,23854.136
32,2020Q1,Africa,Mauritania,20678.883
33,2020Q1,Africa,Mauritius,19993.316
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,37303.994
36,2020Q1,Africa,Mozambique,29364.838
37,2020Q1,Africa,Namibia,21699.179
38,2020Q1,Africa,Niger,21212.171
39,2020Q1,Africa,Nigeria,16110.157000000001
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,17032.375
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,24040.057
44,2020Q1,Africa,Senegal,21468.490999999998
45,2020Q1,Africa,Seychelles,21595.672
46,2020Q1,Africa,Sierra Leone,28989.169
47,2020Q1,Africa,Somalia,32553.441
48,2020Q1,Africa,South Africa,17833.82
49,2020Q1,Africa,South Sudan,24988.975
50,2020Q1,Africa,Sudan,38393.532
51,2020Q1,Africa,Tanzania,19338.632
52,2020Q1,Africa,Togo,24922.937
53,2020Q1,Africa,Tunisia,28390.199
54,2020Q1,Africa,Uganda,18986.637
55,2020Q1,Africa,Zambia,20870.411
56,2020Q1,Africa,Zimbabwe,27398.294
57,2020Q1,Asia,Afghanistan,53135.581
58,2020Q1,Asia,Armenia,30349.89
59,2020Q1,Asia,Azerbaijan,49823.268000000004
60,2020Q1,Asia,Bahrain,13500.321
61,2020Q1,Asia,Bangladesh,26522.267
62,2020Q1,Asia,Bhutan,19318.874
63,2020Q1,Asia,Brunei,17914.364999999998
64,2020Q1,Asia,Cambodia,24109.388
65,2020Q1,Asia,China,23309.011
66,2020Q1,Asia,Georgia,44163.402
67,2020Q1,Asia,Hong Kong,0.0
68,2020Q1,Asia,India,25122.92
69,2020Q1,Asia,Indonesia,30514.895999999997
70,2020Q1,Asia,Iran,24057.412
71,2020Q1,Asia,Iraq,19456.468
72,2020Q1,Asia,Israel,8305.48
73,2020Q1,Asia,Japan,7063.93
74,2020Q1,Asia,Jordan,18534.873
75,2020Q1,Asia,Kazakhstan,41544.488
76,2020Q1,Asia,Kuwait,11768.915
77,2020Q1,Asia,Kyrgyzstan,38836.218
78,2020Q1,Asia,Laos,32761.879
79,2020Q1,Asia,Lebanon,23726.599000000002
80,2020Q1,Asia,Malaysia,23223.838
81,2020Q1,Asia,Maldives,14676.545
82,2020Q1,Asia,Mongolia,40943.827
83,2020Q1,Asia,Myanmar,17987.256
84,2020Q1,Asia,Nepal,23210.933
85,2020Q1,Asia,North Korea,28629.608999999997
86,2020Q1,Asia,Oman,23704.438
87,2020Q1,Asia,Pakistan,37649.759
88,2020Q1,Asia,Palestine,23665.99
89,2020Q1,Asia,Philippines,32968.893000000004
90,2020Q1,Asia,Qatar,15725.41
91,2020Q1,Asia,Saudi Arabia,23098.882
92,2020Q1,Asia,Singapore,8209.627
93,2020Q1,Asia,South Korea,7653.822
94,2020Q1,Asia,Sri Lanka,17541.277
95,2020Q1,Asia,Syria,33487.496
96,2020Q1,Asia,Taiwan,7900.732
97,2020Q1,Asia,Tajikistan,38065.121999999996
98,2020Q1,Asia,Thailand,9777.629
99,2020Q1,Asia,Timor,29845.794
100,2020Q1,Asia,Turkey,15244.365
101,2020Q1,Asia,Turkmenistan,47773.687
102,2020Q1,Asia,United Arab Emirates,28287.76
103,2020Q1,Asia,Uzbekistan,64473.113000000005
104,2020Q1,Asia,Vietnam,21846.385000000002
105,2020Q1,Asia,Yemen,44055.267
106,2020Q1,Europe,Albania,27073.355
107,2020Q1,Europe,Andorra,9713.015000000001
108,2020Q1,Europe,Austria,12921.287
109,2020Q1,Europe,Belarus,39438.481
110,2020Q1,Europe,Belgium,10225.922
111,2020Q1,Europe,Bosnia and Herzegovina,29337.515
112,2020Q1,Europe,Bulgaria,37797.231999999996
113,2020Q1,Europe,Croatia,22586.598
114,2020Q1,Europe,Cyprus,12564.219
115,2020Q1,Europe,Czechia,20246.165
116,2020Q1,Europe,Denmark,10214.262999999999
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,22745.641
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,13662.123
121,2020Q1,Europe,France,7659.34
122,2020Q1,Europe,Germany,13896.371000000001
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,15636.855
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,24768.344
127,2020Q1,Europe,Iceland,10501.288
128,2020Q1,Europe,Ireland,11254.851
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,10070.439
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,31155.34
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,30526.020999999997
136,2020Q1,Europe,Luxembourg,11416.475
137,2020Q1,Europe,Malta,15015.279
138,2020Q1,Europe,Moldova,36356.678
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,34470.145000000004
141,2020Q1,Europe,Netherlands,9733.129
142,2020Q1,Europe,North Macedonia,28719.232
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,10174.124
145,2020Q1,Europe,Poland,20232.459
146,2020Q1,Europe,Portugal,11377.938
147,2020Q1,Europe,Romania,33014.194
148,2020Q1,Europe,Russia,38385.433000000005
149,2020Q1,Europe,San Marino,0.0
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,39107.935000000005
152,2020Q1,Europe,Slovakia,25628.351
153,2020Q1,Europe,Slovenia,13660.877
154,2020Q1,Europe,Spain,8846.867
155,2020Q1,Europe,Sweden,11924.398
156,2020Q1,Europe,Switzerland,8876.771
157,2020Q1,Europe,Ukraine,48046.561
158,2020Q1,Europe,United Kingdom,10870.193
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,17044.479
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,20999.906
164,2020Q1,North America,Barbados,15134.45
165,2020Q1,North America,Belize,15749.172999999999
166,2020Q1,North America,Bermuda,12419.682999999999
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,9398.311
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,12279.597000000002
172,2020Q1,North America,Cuba,16996.152
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,20236.464
175,2020Q1,North America,Dominican Republic,23732.117000000002
176,2020Q1,North America,El Salvador,14889.255
177,2020Q1,North America,Greenland,17794.749
178,2020Q1,North America,Grenada,21712.796
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,13874.922
181,2020Q1,North America,Haiti,38318.772
182,2020Q1,North America,Honduras,21378.512
183,2020Q1,North America,Jamaica,18381.793
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,13903.252999999999
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,12194.423999999999
188,2020Q1,North America,Panama,11422.794
189,2020Q1,North America,Puerto Rico,9620.366
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,18211.18
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,22488.075
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,20333.563000000002
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,13446.921
200,2020Q1,North America,United States Virgin Islands,24356.63
201,2020Q1,Oceania,American Samoa,25253.75
202,2020Q1,Oceania,Australia,9593.399
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,36740.979999999996
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,27634.143999999997
207,2020Q1,Oceania,Kiribati,38684.473
208,2020Q1,Oceania,Marshall Islands,49643.577
209,2020Q1,Oceania,Micronesia (country),40436.527
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,11462.932999999999
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,17354.466
215,2020Q1,Oceania,Palau,0.0
216,2020Q1,Oceania,Papua New Guinea,49972.966
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,31058.952999999998
219,2020Q1,Oceania,Solomon Islands,40920.42
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,20246.61
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,48620.7
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,17383.912
226,2020Q1,South America,Bolivia,18182.611
227,2020Q1,South America,Brazil,15838.529
228,2020Q1,South America,Chile,11391.377
229,2020Q1,South America,Colombia,11057.359999999999
230,2020Q1,South America,Ecuador,12499.872000000001
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,33211.151
234,2020Q1,South America,Paraguay,17722.392
235,2020Q1,South America,Peru,7632.195
236,2020Q1,South America,Suriname,22989.946000000004
237,2020Q1,South America,Uruguay,14303.012
238,2020Q1,South America,Venezuela,18231.649999999998
239,2020Q2,Africa,Algeria,25331.123999999996
240,2020Q2,Africa,Angola,25120.095
241,2020Q2,Africa,Benin,21462.168
242,2020Q2,Africa,Botswana,21600.852000000003
243,2020Q2,Africa,Burkina Faso,24483.368
244,2020Q2,Africa,Burundi,26669.188
245,2020Q2,Africa,Cameroon,22264.151
246,2020Q2,Africa,Cape Verde,16581.929
247,2020Q2,Africa,Central African Republic,39651.157
248,2020Q2,Africa,Chad,25570.545000000002
