,date,continent,location,gdp_per_capita
0,2020Q1,Africa,Algeria,1238331.671
1,2020Q1,Africa,Angola,517935.055
2,2020Q1,Africa,Benin,183717.004
3,2020Q1,Africa,Botswana,1406856.286
4,2020Q1,Africa,Burkina Faso,151576.078
5,2020Q1,Africa,Burundi,62498.025
6,2020Q1,Africa,Cameroon,299478.414
7,2020Q1,Africa,Cape Verde,553807.306
8,2020Q1,Africa,Central African Republic,58850.36
9,2020Q1,Africa,Chad,157365.617
10,2020Q1,Africa,Comoros,125836.21
11,2020Q1,Africa,Congo,434445.134
12,2020Q1,Africa,Cote d'Ivoire,320489.534
13,2020Q1,Africa,Democratic Republic of Congo,71923.837
14,2020Q1,Africa,Djibouti,240781.134
15,2020Q1,Africa,Egypt,938968.334
16,2020Q1,Africa,Equatorial Guinea,2011833.697
17,2020Q1,Africa,Eritrea,134430.851
18,2020Q1,Africa,Eswatini,688768.775
19,2020Q1,Africa,Ethiopia,153963.503
20,2020Q1,Africa,Gabon,1474054.757
21,2020Q1,Africa,Gambia,138997.263
22,2020Q1,Africa,Ghana,376259.07
23,2020Q1,Africa,Guinea,177904.414
24,2020Q1,Africa,Guinea-Bissau,137832.07499999998
25,2020Q1,Africa,Kenya,266379.49199999997
26,2020Q1,Africa,Lesotho,253752.61699999997
27,2020Q1,Africa,Liberia,66998.132
28,2020Q1,Africa,Libya,1591454.3009999997
29,2020Q1,Africa,Madagascar,126063.16
30,2020Q1,Africa,Malawi,97458.738
31,2020Q1,Africa,Mali,179273.234
32,2020Q1,Africa,Mauritania,320189.337
33,2020Q1,Africa,Mauritius,1806054.305
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,666166.157
36,2020Q1,Africa,Mozambique,101113.167
37,2020Q1,Africa,Namibia,849220.9120000001
38,2020Q1,Africa,Niger,82414.0
39,2020Q1,Africa,Nigeria,475122.40599999996
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,165024.779
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,271691.546
44,2020Q1,Africa,Senegal,219881.62
45,2020Q1,Africa,Seychelles,2348023.543
46,2020Q1,Africa,Sierra Leone,123736.7
47,2020Q1,Africa,Somalia,0.0
48,2020Q1,Africa,South Africa,1094243.964
49,2020Q1,Africa,South Sudan,139720.032
50,2020Q1,Africa,Sudan,397519.12299999996
51,2020Q1,Africa,Tanzania,238814.056
52,2020Q1,Africa,Togo,127253.357
53,2020Q1,Africa,Tunisia,965587.4330000001
54,2020Q1,Africa,Uganda,151095.923
55,2020Q1,Africa,Zambia,328343.33900000004
56,2020Q1,Africa,Zimbabwe,169079.975
57,2020Q1,Asia,Afghanistan,160554.843
58,2020Q1,Asia,Armenia,782094.62
59,2020Q1,Asia,Azerbaijan,1410420.291
