,date,continent,location,handwashing_facilities
0,2020Q1,Africa,Algeria,7452.949
1,2020Q1,Africa,Angola,2373.096
2,2020Q1,Africa,Benin,982.115
3,2020Q1,Africa,Botswana,0.0
4,2020Q1,Africa,Burkina Faso,1057.053
5,2020Q1,Africa,Burundi,546.816
6,2020Q1,Africa,Cameroon,243.415
7,2020Q1,Africa,Cape Verde,0.0
8,2020Q1,Africa,Central African Republic,1477.6670000000001
9,2020Q1,Africa,Chad,517.802
10,2020Q1,Africa,Comoros,1386.086
11,2020Q1,Africa,Congo,4268.796
12,2020Q1,Africa,Cote d'Ivoire,1722.239
13,2020Q1,Africa,Democratic Republic of Congo,398.00800000000004
14,2020Q1,Africa,Djibouti,0.0
15,2020Q1,Africa,Egypt,7994.603
16,2020Q1,Africa,Equatorial Guinea,2192.96
17,2020Q1,Africa,Eritrea,0.0
18,2020Q1,Africa,Eswatini,2144.6330000000003
19,2020Q1,Africa,Ethiopia,708.4399999999999
20,2020Q1,Africa,Gabon,0.0
21,2020Q1,Africa,Gambia,700.964
22,2020Q1,Africa,Ghana,3653.1829999999995
23,2020Q1,Africa,Guinea,1553.05
24,2020Q1,Africa,Guinea-Bissau,569.867
25,2020Q1,Africa,Kenya,2193.939
26,2020Q1,Africa,Lesotho,188.413
27,2020Q1,Africa,Liberia,105.732
28,2020Q1,Africa,Libya,0.0
29,2020Q1,Africa,Madagascar,4498.0599999999995
30,2020Q1,Africa,Malawi,774.6560000000001
31,2020Q1,Africa,Mali,4648.648
32,2020Q1,Africa,Mauritania,1419.55
33,2020Q1,Africa,Mauritius,0.0
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,0.0
36,2020Q1,Africa,Mozambique,1088.203
37,2020Q1,Africa,Namibia,3969.4
38,2020Q1,Africa,Niger,799.042
39,2020Q1,Africa,Nigeria,3733.461
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,410.913
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,3679.26
44,2020Q1,Africa,Senegal,1856.4510000000002
45,2020Q1,Africa,Seychelles,0.0
46,2020Q1,Africa,Sierra Leone,1715.475
47,2020Q1,Africa,Somalia,874.959
48,2020Q1,Africa,South Africa,3915.3770000000004
49,2020Q1,Africa,South Sudan,0.0
50,2020Q1,Africa,Sudan,2085.893
51,2020Q1,Africa,Tanzania,4267.817
52,2020Q1,Africa,Togo,932.275
53,2020Q1,Africa,Tunisia,7003.143
54,2020Q1,Africa,Uganda,1888.758
55,2020Q1,Africa,Zambia,1240.482
56,2020Q1,Africa,Zimbabwe,3274.399
57,2020Q1,Asia,Afghanistan,3359.3940000000002
58,2020Q1,Asia,Armenia,8369.827000000001
59,2020Q1,Asia,Azerbaijan,7408.449
60,2020Q1,Asia,Bahrain,0.0
61,2020Q1,Asia,Bangladesh,3097.912
62,2020Q1,Asia,Bhutan,7102.823
63,2020Q1,Asia,Brunei,0.0
64,2020Q1,Asia,Cambodia,5894.381
65,2020Q1,Asia,China,0.0
66,2020Q1,Asia,Georgia,0.0
67,2020Q1,Asia,Hong Kong,0.0
68,2020Q1,Asia,India,5299.95
69,2020Q1,Asia,Indonesia,5714.155999999999
70,2020Q1,Asia,Iran,0.0
71,2020Q1,Asia,Iraq,8417.264
72,2020Q1,Asia,Israel,0.0
73,2020Q1,Asia,Japan,0.0
74,2020Q1,Asia,Jordan,0.0
75,2020Q1,Asia,Kazakhstan,8810.911
76,2020Q1,Asia,Kuwait,0.0
77,2020Q1,Asia,Kyrgyzstan,7940.58
78,2020Q1,Asia,Laos,4435.671
79,2020Q1,Asia,Lebanon,0.0
80,2020Q1,Asia,Malaysia,0.0
81,2020Q1,Asia,Maldives,8526.467
82,2020Q1,Asia,Mongolia,6335.02
83,2020Q1,Asia,Myanmar,7056.543000000001
84,2020Q1,Asia,Nepal,4252.598
85,2020Q1,Asia,North Korea,0.0
86,2020Q1,Asia,Oman,8668.6
87,2020Q1,Asia,Pakistan,5305.023
88,2020Q1,Asia,Palestine,0.0
89,2020Q1,Asia,Philippines,6983.206999999999
90,2020Q1,Asia,Qatar,0.0
91,2020Q1,Asia,Saudi Arabia,0.0
92,2020Q1,Asia,Singapore,0.0
93,2020Q1,Asia,South Korea,0.0
94,2020Q1,Asia,Sri Lanka,0.0
95,2020Q1,Asia,Syria,6283.222
96,2020Q1,Asia,Taiwan,0.0
97,2020Q1,Asia,Tajikistan,6470.655999999999
98,2020Q1,Asia,Thailand,8069.63
99,2020Q1,Asia,Timor,2507.842
100,2020Q1,Asia,Turkey,0.0
101,2020Q1,Asia,Turkmenistan,8900.0
102,2020Q1,Asia,United Arab Emirates,0.0
103,2020Q1,Asia,Uzbekistan,0.0
104,2020Q1,Asia,Vietnam,7640.383
105,2020Q1,Asia,Yemen,4409.238
106,2020Q1,Europe,Albania,0.0
107,2020Q1,Europe,Andorra,0.0
108,2020Q1,Europe,Austria,0.0
109,2020Q1,Europe,Belarus,0.0
110,2020Q1,Europe,Belgium,0.0
111,2020Q1,Europe,Bosnia and Herzegovina,8647.596
112,2020Q1,Europe,Bulgaria,0.0
113,2020Q1,Europe,Croatia,0.0
114,2020Q1,Europe,Cyprus,0.0
115,2020Q1,Europe,Czechia,0.0
116,2020Q1,Europe,Denmark,0.0
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,0.0
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,0.0
121,2020Q1,Europe,France,0.0
122,2020Q1,Europe,Germany,0.0
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,0.0
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,0.0
127,2020Q1,Europe,Iceland,0.0
128,2020Q1,Europe,Ireland,0.0
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,0.0
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,0.0
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,0.0
136,2020Q1,Europe,Luxembourg,0.0
137,2020Q1,Europe,Malta,0.0
138,2020Q1,Europe,Moldova,7741.131
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,0.0
141,2020Q1,Europe,Netherlands,0.0
142,2020Q1,Europe,North Macedonia,0.0
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,0.0
145,2020Q1,Europe,Poland,0.0
146,2020Q1,Europe,Portugal,0.0
147,2020Q1,Europe,Romania,0.0
148,2020Q1,Europe,Russia,0.0
149,2020Q1,Europe,San Marino,0.0
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,8696.991
152,2020Q1,Europe,Slovakia,0.0
153,2020Q1,Europe,Slovenia,0.0
154,2020Q1,Europe,Spain,0.0
155,2020Q1,Europe,Sweden,0.0
156,2020Q1,Europe,Switzerland,0.0
157,2020Q1,Europe,Ukraine,0.0
158,2020Q1,Europe,United Kingdom,0.0
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,0.0
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,0.0
164,2020Q1,North America,Barbados,7873.740999999999
165,2020Q1,North America,Belize,8017.387
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,0.0
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,7461.848999999999
172,2020Q1,North America,Cuba,7582.621999999999
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,0.0
175,2020Q1,North America,Dominican Republic,4911.198
176,2020Q1,North America,El Salvador,8067.85
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,0.0
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,6823.185
181,2020Q1,North America,Haiti,2034.807
182,2020Q1,North America,Honduras,7491.041
183,2020Q1,North America,Jamaica,5911.825
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,7994.076999999999
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,0.0
188,2020Q1,North America,Panama,0.0
189,2020Q1,North America,Puerto Rico,0.0
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,7760.978
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,0.0
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,7960.427
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,0.0
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,0.0
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,0.0
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,0.0
207,2020Q1,Oceania,Kiribati,0.0
208,2020Q1,Oceania,Marshall Islands,7342.678
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,0.0
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,0.0
216,2020Q1,Oceania,Papua New Guinea,0.0
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,0.0
219,2020Q1,Oceania,Solomon Islands,3194.21
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,0.0
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,2243.601
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,0.0
226,2020Q1,South America,Bolivia,2259.087
227,2020Q1,South America,Brazil,0.0
228,2020Q1,South America,Chile,0.0
229,2020Q1,South America,Colombia,5819.353999999999
230,2020Q1,South America,Ecuador,7176.515
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,6867.151000000001
234,2020Q1,South America,Paraguay,7084.578
235,2020Q1,South America,Peru,0.0
236,2020Q1,South America,Suriname,6032.331
237,2020Q1,South America,Uruguay,0.0
238,2020Q1,South America,Venezuela,0.0
239,2020Q2,Africa,Algeria,7620.431
240,2020Q2,Africa,Angola,2426.424
241,2020Q2,Africa,Benin,1004.1850000000001
242,2020Q2,Africa,Botswana,0.0
243,2020Q2,Africa,Burkina Faso,1080.807
244,2020Q2,Africa,Burundi,559.104
245,2020Q2,Africa,Cameroon,248.885
246,2020Q2,Africa,Cape Verde,0.0
247,2020Q2,Africa,Central African Republic,1510.873
248,2020Q2,Africa,Chad,529.438
249,2020Q2,Africa,Comoros,1417.234
250,2020Q2,Africa,Congo,4364.724
251,2020Q2,Africa,Cote d'Ivoire,1760.9409999999998
252,2020Q2,Africa,Democratic Republic of Congo,406.95200000000006
253,2020Q2,Africa,Djibouti,0.0
254,2020Q2,Africa,Egypt,8174.257
255,2020Q2,Africa,Equatorial Guinea,2242.2400000000002
256,2020Q2,Africa,Eritrea,0.0
257,2020Q2,Africa,Eswatini,2192.827
258,2020Q2,Africa,Ethiopia,724.36
259,2020Q2,Africa,Gabon,0.0
260,2020Q2,Africa,Gambia,716.716
261,2020Q2,Africa,Ghana,3735.2769999999996
262,2020Q2,Africa,Guinea,1587.95
263,2020Q2,Africa,Guinea-Bissau,582.673
264,2020Q2,Africa,Kenya,2243.241
265,2020Q2,Africa,Lesotho,192.647
266,2020Q2,Africa,Liberia,108.10799999999999
267,2020Q2,Africa,Libya,0.0
268,2020Q2,Africa,Madagascar,4599.14
269,2020Q2,Africa,Malawi,792.0640000000001
270,2020Q2,Africa,Mali,4753.112
271,2020Q2,Africa,Mauritania,1451.45
272,2020Q2,Africa,Mauritius,0.0
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,0.0
275,2020Q2,Africa,Mozambique,1112.657
276,2020Q2,Africa,Namibia,4058.6
277,2020Q2,Africa,Niger,816.9979999999999
278,2020Q2,Africa,Nigeria,3817.359
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,420.147
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,3761.9400000000005
283,2020Q2,Africa,Senegal,1898.169
284,2020Q2,Africa,Seychelles,0.0
285,2020Q2,Africa,Sierra Leone,1754.0249999999999
286,2020Q2,Africa,Somalia,894.621
287,2020Q2,Africa,South Africa,4003.3630000000003
288,2020Q2,Africa,South Sudan,0.0
289,2020Q2,Africa,Sudan,2132.7670000000003
290,2020Q2,Africa,Tanzania,4363.723
291,2020Q2,Africa,Togo,953.225
292,2020Q2,Africa,Tunisia,7160.517
293,2020Q2,Africa,Uganda,1931.2020000000002
294,2020Q2,Africa,Zambia,1268.358
295,2020Q2,Africa,Zimbabwe,3347.9809999999998
296,2020Q2,Asia,Afghanistan,3434.8860000000004
297,2020Q2,Asia,Armenia,8557.913
298,2020Q2,Asia,Azerbaijan,7574.931
299,2020Q2,Asia,Bahrain,0.0
300,2020Q2,Asia,Bangladesh,3167.528
301,2020Q2,Asia,Bhutan,7262.437
302,2020Q2,Asia,Brunei,0.0
303,2020Q2,Asia,Cambodia,6026.839
304,2020Q2,Asia,China,0.0
305,2020Q2,Asia,Georgia,0.0
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,5419.05
308,2020Q2,Asia,Indonesia,5842.563999999999
309,2020Q2,Asia,Iran,0.0
310,2020Q2,Asia,Iraq,8606.416
311,2020Q2,Asia,Israel,0.0
312,2020Q2,Asia,Japan,0.0
313,2020Q2,Asia,Jordan,0.0
