,date,continent,location,icu_patients_per_million
0,2020Q1,Africa,Algeria,0.0
1,2020Q1,Africa,Angola,0.0
2,2020Q1,Africa,Benin,0.0
3,2020Q1,Africa,Botswana,0.0
4,2020Q1,Africa,Burkina Faso,0.0
5,2020Q1,Africa,Burundi,0.0
6,2020Q1,Africa,Cameroon,0.0
7,2020Q1,Africa,Cape Verde,0.0
8,2020Q1,Africa,Central African Republic,0.0
9,2020Q1,Africa,Chad,0.0
10,2020Q1,Africa,Comoros,0.0
11,2020Q1,Africa,Congo,0.0
12,2020Q1,Africa,Cote d'Ivoire,0.0
13,2020Q1,Africa,Democratic Republic of Congo,0.0
14,2020Q1,Africa,Djibouti,0.0
15,2020Q1,Africa,Egypt,0.0
16,2020Q1,Africa,Equatorial Guinea,0.0
17,2020Q1,Africa,Eritrea,0.0
18,2020Q1,Africa,Eswatini,0.0
19,2020Q1,Africa,Ethiopia,0.0
20,2020Q1,Africa,Gabon,0.0
21,2020Q1,Africa,Gambia,0.0
22,2020Q1,Africa,Ghana,0.0
23,2020Q1,Africa,Guinea,0.0
24,2020Q1,Africa,Guinea-Bissau,0.0
25,2020Q1,Africa,Kenya,0.0
26,2020Q1,Africa,Lesotho,0.0
27,2020Q1,Africa,Liberia,0.0
28,2020Q1,Africa,Libya,0.0
29,2020Q1,Africa,Madagascar,0.0
30,2020Q1,Africa,Malawi,0.0
31,2020Q1,Africa,Mali,0.0
32,2020Q1,Africa,Mauritania,0.0
33,2020Q1,Africa,Mauritius,0.0
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,0.0
36,2020Q1,Africa,Mozambique,0.0
37,2020Q1,Africa,Namibia,0.0
38,2020Q1,Africa,Niger,0.0
39,2020Q1,Africa,Nigeria,0.0
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,0.0
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,0.0
44,2020Q1,Africa,Senegal,0.0
45,2020Q1,Africa,Seychelles,0.0
46,2020Q1,Africa,Sierra Leone,0.0
47,2020Q1,Africa,Somalia,0.0
48,2020Q1,Africa,South Africa,0.651
