,date,continent,location,median_age
0,2020Q1,Africa,Algeria,2589.9
1,2020Q1,Africa,Angola,1495.2
2,2020Q1,Africa,Benin,1673.2
3,2020Q1,Africa,Botswana,2296.2000000000003
4,2020Q1,Africa,Burkina Faso,1566.4
5,2020Q1,Africa,Burundi,1557.5
6,2020Q1,Africa,Cameroon,1673.2
7,2020Q1,Africa,Cape Verde,2287.2999999999997
8,2020Q1,Africa,Central African Republic,1628.7
9,2020Q1,Africa,Chad,1486.3
10,2020Q1,Africa,Comoros,1815.6
11,2020Q1,Africa,Congo,1691.0
12,2020Q1,Africa,Cote d'Ivoire,1664.3
13,2020Q1,Africa,Democratic Republic of Congo,1513.0
14,2020Q1,Africa,Djibouti,2260.6
15,2020Q1,Africa,Egypt,2251.7000000000003
16,2020Q1,Africa,Equatorial Guinea,1993.6
17,2020Q1,Africa,Eritrea,1717.7
18,2020Q1,Africa,Eswatini,1913.5
19,2020Q1,Africa,Ethiopia,1762.2
20,2020Q1,Africa,Gabon,2055.9
21,2020Q1,Africa,Gambia,1557.5
22,2020Q1,Africa,Ghana,1877.9
23,2020Q1,Africa,Guinea,1691.0
24,2020Q1,Africa,Guinea-Bissau,1726.6
25,2020Q1,Africa,Kenya,1780.0
26,2020Q1,Africa,Lesotho,1975.8
27,2020Q1,Africa,Liberia,1708.8
28,2020Q1,Africa,Libya,2581.0
29,2020Q1,Africa,Madagascar,1744.4
30,2020Q1,Africa,Malawi,1610.9
31,2020Q1,Africa,Mali,1459.6
32,2020Q1,Africa,Mauritania,1806.7
33,2020Q1,Africa,Mauritius,3328.6
34,2020Q1,Africa,Mayotte,1788.9
35,2020Q1,Africa,Morocco,2634.4
36,2020Q1,Africa,Mozambique,1575.3
37,2020Q1,Africa,Namibia,1958.0
38,2020Q1,Africa,Niger,1343.8999999999999
39,2020Q1,Africa,Nigeria,1610.9
40,2020Q1,Africa,Reunion,3204.0
41,2020Q1,Africa,Rwanda,1806.7
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,1664.3
44,2020Q1,Africa,Senegal,1664.3
45,2020Q1,Africa,Seychelles,3221.8
46,2020Q1,Africa,Sierra Leone,1699.9
47,2020Q1,Africa,Somalia,1495.2
48,2020Q1,Africa,South Africa,2429.7000000000003
49,2020Q1,Africa,South Sudan,1708.8
50,2020Q1,Africa,Sudan,1753.3
51,2020Q1,Africa,Tanzania,1575.3
52,2020Q1,Africa,Togo,1726.6
53,2020Q1,Africa,Tunisia,2910.3
54,2020Q1,Africa,Uganda,1459.6
55,2020Q1,Africa,Zambia,1575.3
56,2020Q1,Africa,Zimbabwe,1744.4
57,2020Q1,Asia,Afghanistan,1655.4
58,2020Q1,Asia,Armenia,3177.3
59,2020Q1,Asia,Azerbaijan,2883.6
60,2020Q1,Asia,Bahrain,2883.6
61,2020Q1,Asia,Bangladesh,2447.5
62,2020Q1,Asia,Bhutan,2545.4
63,2020Q1,Asia,Brunei,2883.6
64,2020Q1,Asia,Cambodia,2278.4
65,2020Q1,Asia,China,3444.3
66,2020Q1,Asia,Georgia,3444.3
67,2020Q1,Asia,Hong Kong,2732.7999999999997
68,2020Q1,Asia,India,2509.7999999999997
69,2020Q1,Asia,Indonesia,2607.7000000000003
70,2020Q1,Asia,Iran,2883.6
71,2020Q1,Asia,Iraq,1780.0
72,2020Q1,Asia,Israel,2723.4
73,2020Q1,Asia,Japan,4289.8
74,2020Q1,Asia,Jordan,2064.7999999999997
75,2020Q1,Asia,Kazakhstan,2723.4
76,2020Q1,Asia,Kuwait,2999.3
77,2020Q1,Asia,Kyrgyzstan,2340.7000000000003
78,2020Q1,Asia,Laos,2171.6
79,2020Q1,Asia,Lebanon,2767.9
80,2020Q1,Asia,Malaysia,2661.1
81,2020Q1,Asia,Maldives,2723.4
82,2020Q1,Asia,Mongolia,2545.4
83,2020Q1,Asia,Myanmar,2589.9
84,2020Q1,Asia,Nepal,2225.0
85,2020Q1,Asia,North Korea,3141.7
86,2020Q1,Asia,Oman,2732.2999999999997
87,2020Q1,Asia,Pakistan,2091.5
88,2020Q1,Asia,Palestine,1815.6
89,2020Q1,Asia,Philippines,2242.7999999999997
90,2020Q1,Asia,Qatar,2839.1
91,2020Q1,Asia,Saudi Arabia,2839.1
92,2020Q1,Asia,Singapore,3773.6
93,2020Q1,Asia,South Korea,3862.6
94,2020Q1,Asia,Sri Lanka,3034.9
95,2020Q1,Asia,Syria,1931.3
96,2020Q1,Asia,Taiwan,3207.2000000000003
97,2020Q1,Asia,Tajikistan,2073.7000000000003
98,2020Q1,Asia,Thailand,3568.9
99,2020Q1,Asia,Timor,1602.0
100,2020Q1,Asia,Turkey,2812.4
101,2020Q1,Asia,Turkmenistan,2394.1
102,2020Q1,Asia,United Arab Emirates,3026.0
103,2020Q1,Asia,Uzbekistan,2509.7999999999997
104,2020Q1,Asia,Vietnam,2901.4
105,2020Q1,Asia,Yemen,1806.7
106,2020Q1,Europe,Albania,3382.0
107,2020Q1,Europe,Andorra,0.0
108,2020Q1,Europe,Austria,3951.6
109,2020Q1,Europe,Belarus,3586.7
110,2020Q1,Europe,Belgium,3720.2
111,2020Q1,Europe,Bosnia and Herzegovina,3782.5
112,2020Q1,Europe,Bulgaria,3978.3
113,2020Q1,Europe,Croatia,3916.0
114,2020Q1,Europe,Cyprus,3319.7
115,2020Q1,Europe,Czechia,3853.7
116,2020Q1,Europe,Denmark,3764.7
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,3800.3
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,3809.2
121,2020Q1,Europe,France,3738.0
122,2020Q1,Europe,Germany,4147.400000000001
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,4031.7
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,3862.6
127,2020Q1,Europe,Iceland,3319.7
128,2020Q1,Europe,Ireland,3444.3
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,4263.099999999999
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,3907.1
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,3871.5
136,2020Q1,Europe,Luxembourg,3533.3
137,2020Q1,Europe,Malta,3773.6
138,2020Q1,Europe,Moldova,3346.4
139,2020Q1,Europe,Monaco,0.0
