,date,continent,location,population_density
0,2020Q1,Africa,Algeria,1543.972
1,2020Q1,Africa,Angola,2126.21
2,2020Q1,Africa,Benin,8820.789999999999
3,2020Q1,Africa,Botswana,359.91599999999994
4,2020Q1,Africa,Burkina Faso,6243.438999999999
5,2020Q1,Africa,Burundi,37652.518000000004
6,2020Q1,Africa,Cameroon,4528.764999999999
7,2020Q1,Africa,Cape Verde,12066.62
8,2020Q1,Africa,Central African Republic,665.631
9,2020Q1,Africa,Chad,1053.137
10,2020Q1,Africa,Comoros,38924.328
11,2020Q1,Africa,Congo,1371.0449999999998
12,2020Q1,Africa,Cote d'Ivoire,6799.511
13,2020Q1,Africa,Democratic Republic of Congo,3193.2309999999998
14,2020Q1,Africa,Djibouti,3674.365
15,2020Q1,Africa,Egypt,8721.911
16,2020Q1,Africa,Equatorial Guinea,4022.266
17,2020Q1,Africa,Eritrea,3943.056
18,2020Q1,Africa,Eswatini,7074.7880000000005
19,2020Q1,Africa,Ethiopia,9341.172999999999
20,2020Q1,Africa,Gabon,699.451
21,2020Q1,Africa,Gambia,18473.374
22,2020Q1,Africa,Ghana,11277.991
23,2020Q1,Africa,Guinea,4606.195000000001
24,2020Q1,Africa,Guinea-Bissau,5890.999
25,2020Q1,Africa,Kenya,7771.836
26,2020Q1,Africa,Lesotho,6547.018
27,2020Q1,Africa,Liberia,4372.303
28,2020Q1,Africa,Libya,322.447
29,2020Q1,Africa,Madagascar,3911.639
30,2020Q1,Africa,Malawi,17579.191
31,2020Q1,Africa,Mali,1352.444
32,2020Q1,Africa,Mauritania,381.72099999999995
33,2020Q1,Africa,Mauritius,55443.618
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,7127.12
36,2020Q1,Africa,Mozambique,3357.792
37,2020Q1,Africa,Namibia,273.942
38,2020Q1,Africa,Niger,1508.995
39,2020Q1,Africa,Nigeria,18653.332
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,44043.341
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,18942.849000000002
44,2020Q1,Africa,Senegal,7327.192
45,2020Q1,Africa,Seychelles,18543.506
46,2020Q1,Africa,Sierra Leone,9318.300000000001
47,2020Q1,Africa,Somalia,2091.5
48,2020Q1,Africa,South Africa,4161.106
49,2020Q1,Africa,South Sudan,0.0
50,2020Q1,Africa,Sudan,2069.962
51,2020Q1,Africa,Tanzania,5758.211
52,2020Q1,Africa,Togo,12759.574
53,2020Q1,Africa,Tunisia,6606.2919999999995
54,2020Q1,Africa,Uganda,19024.551
55,2020Q1,Africa,Zambia,2046.555
56,2020Q1,Africa,Zimbabwe,3802.881
57,2020Q1,Asia,Afghanistan,4843.558
58,2020Q1,Asia,Armenia,9160.859
59,2020Q1,Asia,Azerbaijan,10618.501
60,2020Q1,Asia,Bahrain,172295.723
