,date,continent,location,stringency_index
0,2020Q1,Africa,Algeria,1162.07
1,2020Q1,Africa,Angola,889.8399999999999
2,2020Q1,Africa,Benin,869.52
3,2020Q1,Africa,Botswana,1738.99
4,2020Q1,Africa,Burkina Faso,1251.8
5,2020Q1,Africa,Burundi,511.25
6,2020Q1,Africa,Cameroon,817.64
7,2020Q1,Africa,Cape Verde,1370.31
8,2020Q1,Africa,Central African Republic,544.4399999999999
9,2020Q1,Africa,Chad,558.39
10,2020Q1,Africa,Comoros,0.0
11,2020Q1,Africa,Congo,594.52
12,2020Q1,Africa,Cote d'Ivoire,1076.91
13,2020Q1,Africa,Democratic Republic of Congo,1075.06
14,2020Q1,Africa,Djibouti,1018.47
15,2020Q1,Africa,Egypt,1023.1400000000001
16,2020Q1,Africa,Equatorial Guinea,0.0
17,2020Q1,Africa,Eritrea,0.0
18,2020Q1,Africa,Eswatini,1402.81
19,2020Q1,Africa,Ethiopia,885.3399999999999
20,2020Q1,Africa,Gabon,1689.89
21,2020Q1,Africa,Gambia,1204.66
22,2020Q1,Africa,Ghana,1063.07
23,2020Q1,Africa,Guinea,1149.06
24,2020Q1,Africa,Guinea-Bissau,0.0
25,2020Q1,Africa,Kenya,1614.01
26,2020Q1,Africa,Lesotho,1246.3300000000002
27,2020Q1,Africa,Liberia,1260.37
28,2020Q1,Africa,Libya,1361.23
29,2020Q1,Africa,Madagascar,1075.94
30,2020Q1,Africa,Malawi,883.46
31,2020Q1,Africa,Mali,726.85
32,2020Q1,Africa,Mauritania,1187.23
33,2020Q1,Africa,Mauritius,886.14
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,1494.5
36,2020Q1,Africa,Mozambique,802.64
37,2020Q1,Africa,Namibia,902.82
38,2020Q1,Africa,Niger,830.59
39,2020Q1,Africa,Nigeria,1278.68
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,2060.2
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,0.0
44,2020Q1,Africa,Senegal,1063.92
45,2020Q1,Africa,Seychelles,1398.25
46,2020Q1,Africa,Sierra Leone,467.62
47,2020Q1,Africa,Somalia,708.35
48,2020Q1,Africa,South Africa,1325.12
49,2020Q1,Africa,South Sudan,1004.72
50,2020Q1,Africa,Sudan,1405.73
51,2020Q1,Africa,Tanzania,732.48
52,2020Q1,Africa,Togo,919.39
53,2020Q1,Africa,Tunisia,1484.27
54,2020Q1,Africa,Uganda,1651.05
55,2020Q1,Africa,Zambia,894.5500000000001
56,2020Q1,Africa,Zimbabwe,1157.26
57,2020Q1,Asia,Afghanistan,1324.1000000000001
58,2020Q1,Asia,Armenia,0.0
59,2020Q1,Asia,Azerbaijan,1667.69
60,2020Q1,Asia,Bahrain,2130.6
61,2020Q1,Asia,Bangladesh,1890.7800000000002
62,2020Q1,Asia,Bhutan,1784.23
63,2020Q1,Asia,Brunei,2097.04
64,2020Q1,Asia,Cambodia,1038.8999999999999
65,2020Q1,Asia,China,5367.58
66,2020Q1,Asia,Georgia,2534.15
67,2020Q1,Asia,Hong Kong,3156.45
68,2020Q1,Asia,India,1985.33
69,2020Q1,Asia,Indonesia,2304.62
70,2020Q1,Asia,Iran,1583.35
71,2020Q1,Asia,Iraq,2692.6
72,2020Q1,Asia,Israel,2336.92
73,2020Q1,Asia,Japan,1977.75
74,2020Q1,Asia,Jordan,1611.09
75,2020Q1,Asia,Kazakhstan,1665.1
76,2020Q1,Asia,Kuwait,2232.5
77,2020Q1,Asia,Kyrgyzstan,2067.13
78,2020Q1,Asia,Laos,579.64
79,2020Q1,Asia,Lebanon,1936.1599999999999
80,2020Q1,Asia,Malaysia,2248.8900000000003
81,2020Q1,Asia,Maldives,0.0
82,2020Q1,Asia,Mongolia,4179.1
83,2020Q1,Asia,Myanmar,1007.49
84,2020Q1,Asia,Nepal,2115.84
85,2020Q1,Asia,North Korea,0.0
86,2020Q1,Asia,Oman,2155.4
87,2020Q1,Asia,Pakistan,2038.85
88,2020Q1,Asia,Palestine,2270.3999999999996
89,2020Q1,Asia,Philippines,2799.03
90,2020Q1,Asia,Qatar,1919.53
91,2020Q1,Asia,Saudi Arabia,2004.59
92,2020Q1,Asia,Singapore,2234.15
93,2020Q1,Asia,South Korea,3002.9100000000003
94,2020Q1,Asia,Sri Lanka,1988.78
95,2020Q1,Asia,Syria,1465.82
96,2020Q1,Asia,Taiwan,1991.6599999999999
97,2020Q1,Asia,Tajikistan,874.98
98,2020Q1,Asia,Thailand,1112.98
99,2020Q1,Asia,Timor,1016.65
100,2020Q1,Asia,Turkey,1858.24
101,2020Q1,Asia,Turkmenistan,1548.02
102,2020Q1,Asia,United Arab Emirates,1487.11
103,2020Q1,Asia,Uzbekistan,1879.6499999999999
104,2020Q1,Asia,Vietnam,2929.5499999999997
105,2020Q1,Asia,Yemen,842.5600000000001
106,2020Q1,Europe,Albania,1918.51
107,2020Q1,Europe,Andorra,716.62
108,2020Q1,Europe,Austria,1707.3700000000001
109,2020Q1,Europe,Belarus,149.94
110,2020Q1,Europe,Belgium,1875.9
111,2020Q1,Europe,Bosnia and Herzegovina,1436.1200000000001
112,2020Q1,Europe,Bulgaria,1726.89
113,2020Q1,Europe,Croatia,2016.75
114,2020Q1,Europe,Cyprus,1411.06
115,2020Q1,Europe,Czechia,2355.64
