,date,continent,location,total_cases_per_million
0,2020Q1,Africa,Algeria,92.306
1,2020Q1,Africa,Angola,0.14
2,2020Q1,Africa,Benin,2.625
3,2020Q1,Africa,Botswana,1.141
4,2020Q1,Africa,Burkina Faso,83.047
5,2020Q1,Africa,Burundi,0.0
6,2020Q1,Africa,Cameroon,28.588
7,2020Q1,Africa,Cape Verde,72.493
8,2020Q1,Africa,Central African Republic,26.527
9,2020Q1,Africa,Chad,2.65
10,2020Q1,Africa,Comoros,0.0
11,2020Q1,Africa,Congo,18.754
12,2020Q1,Africa,Cote d'Ivoire,53.873
13,2020Q1,Africa,Democratic Republic of Congo,6.492
14,2020Q1,Africa,Djibouti,95.463
15,2020Q1,Africa,Egypt,59.078
16,2020Q1,Africa,Equatorial Guinea,79.406
17,2020Q1,Africa,Eritrea,14.386
18,2020Q1,Africa,Eswatini,56.589
19,2020Q1,Africa,Ethiopia,1.491
20,2020Q1,Africa,Gabon,37.678
21,2020Q1,Africa,Gambia,11.09
22,2020Q1,Africa,Ghana,31.695
23,2020Q1,Africa,Guinea,6.42
24,2020Q1,Africa,Guinea-Bissau,8.549
25,2020Q1,Africa,Kenya,5.741
26,2020Q1,Africa,Lesotho,0.0
27,2020Q1,Africa,Liberia,9.052
28,2020Q1,Africa,Libya,1.762
29,2020Q1,Africa,Madagascar,8.307
30,2020Q1,Africa,Malawi,0.0
31,2020Q1,Africa,Mali,2.876
32,2020Q1,Africa,Mauritania,8.865
33,2020Q1,Africa,Mauritius,535.6
34,2020Q1,Africa,Mayotte,1478.016
35,2020Q1,Africa,Morocco,83.534
36,2020Q1,Africa,Mozambique,1.517
37,2020Q1,Africa,Namibia,33.112
38,2020Q1,Africa,Niger,5.379
39,2020Q1,Africa,Nigeria,3.347
40,2020Q1,Africa,Reunion,1395.1889999999999
41,2020Q1,Africa,Rwanda,38.106
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,0.0
44,2020Q1,Africa,Senegal,93.032
45,2020Q1,Africa,Seychelles,1008.0719999999999
