,date,continent,location,total_deaths_per_million
0,2020Q1,Africa,Algeria,2.115
1,2020Q1,Africa,Angola,0.0
2,2020Q1,Africa,Benin,0.0
3,2020Q1,Africa,Botswana,2.2800000000000002
4,2020Q1,Africa,Burkina Faso,5.118
5,2020Q1,Africa,Burundi,0.0
6,2020Q1,Africa,Cameroon,1.0030000000000001
7,2020Q1,Africa,Cape Verde,0.0
8,2020Q1,Africa,Central African Republic,0.0
9,2020Q1,Africa,Chad,0.0
10,2020Q1,Africa,Comoros,0.0
11,2020Q1,Africa,Congo,0.0
12,2020Q1,Africa,Cote d'Ivoire,0.142
13,2020Q1,Africa,Democratic Republic of Congo,0.0
14,2020Q1,Africa,Djibouti,0.0
15,2020Q1,Africa,Egypt,2.673
16,2020Q1,Africa,Equatorial Guinea,0.0
17,2020Q1,Africa,Eritrea,0.0
18,2020Q1,Africa,Eswatini,0.0
19,2020Q1,Africa,Ethiopia,0.0
20,2020Q1,Africa,Gabon,1.256
21,2020Q1,Africa,Gambia,0.0
22,2020Q1,Africa,Ghana,0.0
23,2020Q1,Africa,Guinea,0.0
24,2020Q1,Africa,Guinea-Bissau,0.0
25,2020Q1,Africa,Kenya,0.37
26,2020Q1,Africa,Lesotho,0.0
27,2020Q1,Africa,Liberia,0.0
28,2020Q1,Africa,Libya,0.0
29,2020Q1,Africa,Madagascar,0.0
30,2020Q1,Africa,Malawi,0.0
31,2020Q1,Africa,Mali,0.266
32,2020Q1,Africa,Mauritania,31.46
33,2020Q1,Africa,Mauritius,17.701
34,2020Q1,Africa,Mayotte,0.0
35,2020Q1,Africa,Morocco,4.084
36,2020Q1,Africa,Mozambique,0.0
37,2020Q1,Africa,Namibia,0.0
38,2020Q1,Africa,Niger,0.0
39,2020Q1,Africa,Nigeria,0.13
40,2020Q1,Africa,Reunion,0.0
41,2020Q1,Africa,Rwanda,0.0
42,2020Q1,Africa,Saint Helena,0.0
43,2020Q1,Africa,Sao Tome and Principe,0.0
44,2020Q1,Africa,Senegal,0.0
45,2020Q1,Africa,Seychelles,0.0
46,2020Q1,Africa,Sierra Leone,0.0
47,2020Q1,Africa,Somalia,0.0
48,2020Q1,Africa,South Africa,0.1
49,2020Q1,Africa,South Sudan,0.0
50,2020Q1,Africa,Sudan,0.401
51,2020Q1,Africa,Tanzania,0.0
52,2020Q1,Africa,Togo,0.452
53,2020Q1,Africa,Tunisia,4.128
54,2020Q1,Africa,Uganda,0.0
55,2020Q1,Africa,Zambia,0.0
56,2020Q1,Africa,Zimbabwe,8.758
57,2020Q1,Asia,Afghanistan,0.364
58,2020Q1,Asia,Armenia,3.2379999999999995
59,2020Q1,Asia,Azerbaijan,2.321
60,2020Q1,Asia,Bahrain,24.451
61,2020Q1,Asia,Bangladesh,0.274
62,2020Q1,Asia,Bhutan,0.0
63,2020Q1,Asia,Brunei,6.680999999999999
64,2020Q1,Asia,Cambodia,0.0
65,2020Q1,Asia,China,102.299
66,2020Q1,Asia,Georgia,0.0
67,2020Q1,Asia,Hong Kong,0.0
68,2020Q1,Asia,India,0.136
69,2020Q1,Asia,Indonesia,3.578
70,2020Q1,Asia,Iran,355.48199999999997
71,2020Q1,Asia,Iraq,10.046
72,2020Q1,Asia,Israel,8.572
73,2020Q1,Asia,Japan,6.764
74,2020Q1,Asia,Jordan,0.798
75,2020Q1,Asia,Kazakhstan,0.208
76,2020Q1,Asia,Kuwait,0.0
77,2020Q1,Asia,Kyrgyzstan,0.0
78,2020Q1,Asia,Laos,0.0
79,2020Q1,Asia,Lebanon,17.487000000000002
80,2020Q1,Asia,Malaysia,6.7490000000000006
81,2020Q1,Asia,Maldives,0.0
82,2020Q1,Asia,Mongolia,0.0
83,2020Q1,Asia,Myanmar,0.018
84,2020Q1,Asia,Nepal,0.0
85,2020Q1,Asia,North Korea,0.0
86,2020Q1,Asia,Oman,0.0
87,2020Q1,Asia,Pakistan,0.292
88,2020Q1,Asia,Palestine,0.95
89,2020Q1,Asia,Philippines,5.567
90,2020Q1,Asia,Qatar,0.742
91,2020Q1,Asia,Saudi Arabia,0.769
92,2020Q1,Asia,Singapore,4.259
93,2020Q1,Asia,South Korea,51.43
94,2020Q1,Asia,Sri Lanka,0.184
95,2020Q1,Asia,Syria,0.09
96,2020Q1,Asia,Taiwan,0.0
97,2020Q1,Asia,Tajikistan,0.0
98,2020Q1,Asia,Thailand,1.0070000000000001
99,2020Q1,Asia,Timor,0.0
100,2020Q1,Asia,Turkey,9.153
101,2020Q1,Asia,Turkmenistan,0.0
102,2020Q1,Asia,United Arab Emirates,2.544
103,2020Q1,Asia,Uzbekistan,0.0
104,2020Q1,Asia,Vietnam,0.0
105,2020Q1,Asia,Yemen,0.0
106,2020Q1,Europe,Albania,23.573999999999998
107,2020Q1,Europe,Andorra,526.034
